,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range,Weight,Hazardous,Dimensions (L x W x D),Power Supply,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8
10,P678877,Flexelec CSC2 drain line heater 6m/240w/230v,Flexelec,32.05,"The Flexelec CSC2 230V, 240W drain line heater is designed to be laid inside pipes and used for draining water from thawing refrigeration equipment in cold rooms, operating only during thawing cycles.",Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Flexelec CSC2 drain line heater 6m/240w/230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/77/NW-678872_678877_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexelec_CSC2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Flexelec_CSC2_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_RoHS_Certification.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_CE_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_REACH_Certification.pdf,,,,,,,,,,,,,,,,,
11,P678876,Flexelec CSC2 drain line heater5m/200w/230v,Flexelec,28.68,"The Flexelec CSC2 230V, 200W drain line heater is designed to be laid inside pipes and used for draining water from thawing refrigeration equipment in cold rooms, operating only during thawing cycles.",Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Flexelec CSC2 drain line heater5m/200w/230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/77/NW-678872_678877_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexelec_CSC2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Flexelec_CSC2_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_RoHS_Certification.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_CE_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_REACH_Certification.pdf,,,,,,,,,,,,,,,,,
12,P678875,Flexelec CSC2 drain line heater 4m/160w/230v,Flexelec,25.22,"The Flexelec CSC2 230V, 160W drain line heater is designed to be laid inside pipes and used for draining water from thawing refrigeration equipment in cold rooms, operating only during thawing cycles.",Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Flexelec CSC2 drain line heater 4m/160w/230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/77/NW-678872_678877_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexelec_CSC2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Flexelec_CSC2_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_RoHS_Certification.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_REACH_Certification.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_CE_Declaration.pdf,,,,,,,,,,,,,,,,,
13,P677126,Tecumseh Lunite 8685301 run capacitor 7.5mfd 400v,Tecumseh,45.99,A Tecumseh Lunite 7.5mfd 400V run capacitor.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Tecumseh Lunite 8685301 run capacitor 7.5mfd 400v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/26/677126_wm.jpg,,,,,,Lunite,,N,85 x 35 dia,400 V,SILAE9450Z-(1);SILAE9460Z-(1),8685301,Tecumseh Parts,N,run capacitor 7.5mfd 400v,,,,,,,
14,P684010,Danfoss Spare Parts 118U4025 press transducer -1 to 12 bar,Danfoss,155.41,This Danfoss -1 to 12 bar pressure transmitter is suitable for use in the brand's Optyma Plus and Inverter.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Danfoss Spare Parts 118U4025 press transducer -1 to 12 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/11/NW-684010_684011_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_Optyma_Installation.pdf,,,,,,,,,,,,,,,,,,,,,
15,P691054,Eurogel Alfa 45 timer,Eurogel,145.82,"Made of a self-extinguishing ABS, this Eurogel Alfa 45M fixed compressor delay timer automatically prevents the short restart of a compressor should a power failure occur.",Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Eurogel Alfa 45 timer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/54/691054_wm.jpg,,,,,,,0.19500,N,105 x 85 x 43 mm,,,4628300,Timer,N,"Supply: 230VAC +/- 10%, 50/60Hz",Power consumption: 100ma Max,On Delay: 45 sec =/- 10%,"Relay Output: 25A @ 230V (Cos=1), 2hp @ 230VAC",Operating Temp: (-) 25°C to 65°C,Storage Temp: (-0 40°C to 90°C,Box material: self-extinguish ABS (white),Dimensions: 105 x 85 x 43mm
16,P866998,Tecumseh Parts T0861-P9 overload protector,Tecumseh,19.88,This Tecumseh T0861-P9 overload protector is a suitable replacement part for use in Tecumseh brand units.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Tecumseh Parts T0861-P9 overload protector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/98/866998_wm.jpg,,,,,,Parts,,N,200 x 200 x 50,N/A,,8571327,Parts,N,Replacement part,Suitable for Tecumseh units,,,,,,
17,P866988,Tecumseh Parts T0610-P9 overload protector,Tecumseh,19.88,This Tecumseh T0610-P9 overload protector is a suitable replacement part for use in Tecumseh brand units.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Tecumseh Parts T0610-P9 overload protector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/88/866988_wm.jpg,,,,,,Parts,,N,200 x 200 x 50,N/A,,8571320,Parts,N,Replacement part,Suitable for Tecumseh units,,,,,,
18,P866979,Tecumseh Parts T0615-P9 overload protector,Tecumseh,19.88,This Tecumseh T0615-P9 overload protector is a suitable replacement part for use in Tecumseh brand units.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Tecumseh Parts T0615-P9 overload protector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/79/866979_wm.jpg,,,,,,Parts,,N,200 x 200 x 50,N/A,,8571300,Parts,N,Replacement part,Suitable for Tecumseh units,,,,,,
19,P678665,Tecumseh Parts OT16 ET3 isolator,Tecumseh,59.12,This Tecumseh OT16 ET3 isolator is a suitable replacement part for use in Tecumseh brand units.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Tecumseh Parts OT16 ET3 isolator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/65/678665_wm.jpg,,,,,,Parts,,N,200 x 200 x 50,N/A,SILAE9450Z-(1);SILAE9460Z-(1);SILAJ2446Z-(1);SILAJ2464Z-(1);SILAJ4517Z-(1);SILAJ4517Z-(3);SILAJ4519Z-(1);SILAJ4519Z-(3);SILAJ9480Z-(1);SILAJ9510Z-(1);SILAJ9510Z-(3);SILAJ9513Z-(1);SILFH2480Z-(1);SILFH2480Z-(3);SILFH2511Z-(1);SILFH2511Z-(3);SILFH4524Z-(1),8527108,Parts,N,Replacement part,Suitable for Tecumseh units,,,,,,
20,P677118,Tecumseh MLR 25L4015035103 run capacitor 17.5mfd 370v,Tecumseh,39.3,A Tecumseh 370V 17.5mfd run capacitor for use with CAJ4517/AJ4513.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Tecumseh MLR 25L4015035103 run capacitor 17.5mfd 370v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/18/677118_wm.jpg,,,,,,MLR,,N,103 x 40mm,370 V,,8545103,Run Capacitor,N,Capacity: 17.5mfd,,,,,,,
21,P697019,Copeland 271 fan assembly complete 270W,Copeland,831.04,"A Copeland 271 230V, 270W, 1P complete fan assembly with 6.3F capacitor.",Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Copeland 271 fan assembly complete 270W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/19/NW-697019_wm.jpg,,,,,,,,N,450 x 450 x 150 mm,"230 VAC at 50 Hz, 1.15 A, 1P, 270 W",,3276928,Fan Assembly,N,6.3 F capacitor,,,,,,,
22,P684011,Danfoss Spare Parts 118U4021 press transducer 0 to 32 bar,Danfoss,152.16,This Danfoss 0 to 32 bar pressure transmitter is suitable for use in the brand's Optyma Plus and Inverter.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Danfoss Spare Parts 118U4021 press transducer 0 to 32 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/11/NW-684010_684011_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_Optyma_Installation.pdf,,,,,,,,,,,,,,,,,,,,,
23,P867000,Tecumseh Parts RVA403D relay,Tecumseh,69.49,This Tecumseh RVA403D relay is a suitable replacement part for use in Tecumseh brand units.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Tecumseh Parts RVA403D relay,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/00/867000_wm.jpg,,,,,,Parts,100.00000,N,200 x 200 x 50,N/A,,8565443,Parts,N,Replacement part,Suitable for Tecumseh units,,,,,,
24,P679230,Tecumseh MTRP 0030/31 current relay,Tecumseh,18.87,This Tecumseh 230V current relay is for use with AE4456.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Tecumseh MTRP 0030/31 current relay,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/30/679230_wm.jpg,,,,,,MTRP,,N,34 x 28 x 31,230V,,8662676,Relay,N,current relay,,,,,,,
25,P671398,"Castel 3080 79C portable electronic device fusible plug 1/4""",Castel,13.9,"This Castel 3080 79C 1/4"" NPT fusible plug contains material designed to melt at a predetermined temperature in order to relieve pressure. With an NPT threaded plug drilled with a through-hole filled with fusible alloy plus a tapered end, the fusible plug protects components in a refrigerating system or heat pump from the effects of overpressure caused by an excessive external heat source, such as fire.","Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Castel 3080 79C portable electronic device fusible plug 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/99/NW-671398_671399_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Castel_Fusible-Plug_Handbook.pdf,,,,,,,,,,,,,,,,,,,,,
26,P677192,Tecumseh Parts RVA 4P3D potential relay,Tecumseh,69.49,A genuine Tecumseh replacement potential relay.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Tecumseh Parts RVA 4P3D potential relay,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/92/677192_wm.jpg,,,,,,Parts,0.11000,N,200 x 200 x 50,N/A,,8565445,Parts,N,Replacement part,,,,,,,
27,P677405,Tecumseh RVA 4I3D Tecumseh potential relay RVA4I3D,Tecumseh,69.49,This Tecumseh 230V potential relay is for use with CAJ4519/AJ4476/CAJ9480.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Tecumseh RVA 4I3D Tecumseh potential relay RVA4I3D,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/93/677405_677193_wm.jpg,,,,,,RVA,,N,51 x 46.5 x 35,230V,SILAJ9480Z-(1)SILAJ9513Z-(1)SILFH2511Z-(1)SILFH4524Z-(1),8565407,Relay,N,potential relay,,,,,,,
28,P671399,"Castel 3080 79C portable electronic device fusible plug 3/8""",Castel,22.12,"This Castel 3080 79C 3/8"" NPT fusible plug contains material designed to melt at a predetermined temperature in order to relieve pressure. With an NPT threaded plug drilled with a through-hole filled with fusible alloy plus a tapered end, the fusible plug protects components in a refrigerating system or heat pump from the effects of overpressure caused by an excessive external heat source, such as fire.","Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Castel 3080 79C portable electronic device fusible plug 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/99/NW-671398_671399_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Castel_Fusible-Plug_Handbook.pdf,,,,,,,,,,,,,,,,,,,,,
