,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Refrigerant Suitability,Hazardous,Fin Spacing mm,Depth (mm),Surface Area,Air Throw,Fan Amps,Motor,Air Volume (m3 per s),Capacity at SC2 R404A,Inlet Size,Noise Level,Number of Fans,Outlet Size,Power Supply,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Attachment 3
10,P675595,Kelvion TEC TEC6-7 cooler,Kelvion,659.04,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC6-7 2.29kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion TEC TEC6-7 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/95/NW-675590_675595_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
11,P675590,Kelvion TEC TEC4-5 cooler,Kelvion,551.46,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC4-5 1.61kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion TEC TEC4-5 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/95/NW-675590_675595_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
12,P675594,Kelvion TEC TEC6-5 cooler,Kelvion,659.04,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC6-5 2.14kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion TEC TEC6-5 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/95/NW-675590_675595_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
13,P675596,Kelvion TEC TEC7-5 cooler,Kelvion,874.23,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC7-5 2.76kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion TEC TEC7-5 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/682968_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
14,P675583,Kelvion TEC TEC1-7 cooler,Kelvion,359.01,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC1-7 0.57kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion TEC TEC1-7 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/682968_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
15,P675591,Kelvion TEC TEC4-7 cooler,Kelvion,551.46,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC4-7 1.72kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion TEC TEC4-7 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/95/NW-675590_675595_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
16,P656582,Kelvion MSC-401-6BE cooler electric defrost,Kelvion,1897.79,"The Kelvion MSC-401-6BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion MSC-401-6BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/82/656582_wm.jpg,6.2 Kg,HFC,N,7 mm,590,28.8,16,2.1,1535,1.21,7.79,22 mm,58 Db(A) @ 3m,1,35mm,230/1/50,100789022,Evaporator,N,"The Kelvion MSC-401-6BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",,,,,,,,,
17,P656540,Kelvion KSC-401-6BE cooler electric defrost,Kelvion,2093.28,"The Kelvion KSC-401-6BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion KSC-401-6BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/40/656540_wm.jpg,59 kg,HFC,N,7 mm,561,25.6,13,1.3,1270,0.94,6.14,28mm,45dB(A) @3m,1,28mm,230/1/50,100778331,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1270 RPM motor,13M air throw,,,
18,P675587,Kelvion TEC TEC3.5-7 cooler,Kelvion,409.71,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC3.5-7 1.25kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion TEC TEC3.5-7 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/682968_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
19,P675586,Kelvion TEC TEC3.5-5 cooler,Kelvion,409.71,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC3.5-5 1.15kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion TEC TEC3.5-5 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/682968_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
20,P675584,Kelvion TEC TEC2-5 cooler,Kelvion,384.88,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC2-5 0.84kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion TEC TEC2-5 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/682968_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
21,P675588,Kelvion TEC TEC3-5 cooler,Kelvion,446.94,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC3-5 1kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion TEC TEC3-5 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/682968_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
22,P656498,Kelvion KSC-301-6RE cooler electric defrost,Kelvion,1061.07,"The Kelvion KSC-301-6RE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion KSC-301-6RE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/98/656498_wm.jpg,24 kg,HFC,N,4 mm,453,19.1,8,0.6,1600,0.34,3,12mm,47dB(A) @ 3m,1,22mm,230/1/50,100685077,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,8M air throw,,,
23,P685173,Beermaster BMIEP BMIEP-448-89 2 fans evaporator,Beermaster,1646.17,"A flexible packaged cooling system, the robust Climate Center Beermaster BMIEP-448-89 evaporator is part of a range that has been manufactured to meet the demands of the modern cellar cooling industry. This extensive collection of efficient and easy to service condensing units and evaporators cater for cooling capacities between 3.4kW and 12.4kW or 10°C cellar temperature with 32°C ambient.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Beermaster BMIEP BMIEP-448-89 2 fans evaporator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/75/NW-685170_685175_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/89/685173_IM_Beermaster_BM+_IEP-448-89.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf,
24,P656500,Kelvion cooler ksc-301-sbe elec defrost,Kelvion,1136.15,"The Kelvion KSC-301-SBE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion cooler ksc-301-sbe elec defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/00/656500_wm.jpg,25 kg,HFC,N,7 mm,453,14.9,9,0.6,1600,0.49,3.33,12mm,50dB(A) @3m,1,22mm,230/1/50,100788100,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,9M air throw,,,
