,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Pack Quantity,Attachment 6,Attachment 7,Feature 9,Feature 10,Colour,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Seasonal Space Heating Energy Efficiency %,Feature 18,Feature 19,Max Vertical Level Flue Length (metres),Attachment 8,Attachment 9,Rated Heat Output (Prated or Psup),Seasonal Space Heating Energy Efficiency Class
34,P333022,Vokera Excel i 25 20188732 combi boiler only pack,Vokera,420.0,"Exclusively available to Wolseley customers, the Vokera Excel-i 25 combi boiler accepts a 20% hydrogen blend but is also suitable for operation via a methane-hydrogen blend to meet the requirements of imminent network switchovers. Fitted with a large bore stainless steel heat exchanger, this robust 25kW boiler is designed for reduced downtime, operating efficiently and reliably with regular servicing. Thanks to its simple, modern digital user interface, the Excel-i is easy to operate and commission with quick navigation through settings with no need to constantly refer back to the unit's instruction manual.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Vokera Excel i 25 20188732 combi boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/43/105642_105643_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Vokera_Excel-i_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P333606,Worcester Bosch Greenstar CDi Compact 32CDi NG combi boiler,Worcester Bosch,1122.0,"Suitable for a three bedroom, two bathroom property, the Worcester Bosch Greenstar 32CDi Compact condensing combi boiler is ErP A-rated for efficient heating and hot water delivery, achieving an even better A+ rating if installed along with the Bosch EasyControl smart thermostat. Offering simple diagnostics and easy commissioning, this 32kW combi is supplied with a pre-plumbed wall mounting jig for effortless installation and has a compact size ideal for fitting into a kitchen cupboard.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Worcester Bosch Greenstar CDi Compact 32CDi NG combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/up/_n/CDiCompact-FrontOn_FlapUp_N_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Worcester_CDi Compact_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P114662,Worcester Bosch Greenstar 8000 Life GR8300iW 40 C NG combi boiler 40kW White,Worcester Bosch,1773.53,"Spearheading the next generation of boilers the Worcester Bosch Greenstar 8000 Life GR8300iW 40 C NG follows in the footsteps of the award-winning CDi Classic. It's equally reliable and user-friendly but benefits from better than ever efficiency, flexibility and ease of fitting and maintenance. The modern design of the 8000 Life blends seamlessly into the contemporary home, while installation is faster and easier with a reduced lift weight but all the familiar fixtures and connections. Control of this 40kW boiler is that bit simpler too owing to an intuitive full colour text display and the ability to connect to Bosch's EasyControl smart thermostat. With an ErP A rating this boiler helps householders to keep their fuel bills to a minimum and reduce emissions too.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 40 C NG combi boiler 40kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/64/114660_114664_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_8000_Life_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_8000_Life_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114662_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/W_B_Greenstar_8000_LifeStyle_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P333327,Viessmann vitodens 050-W 30kW combi boiler,Viessmann,1116.86,"LPG-compatible with no need for a conversion kit, the Viessmann Vitodens 050-W combi boiler is fitted with the brand's own patented Matrix Plus burner and Inox-Radial stainless steel heat exchanger for maximised efficiency and excellent performance in the home. This 30kW boiler has a compact design suitable for wall-mounting inside the average sized kitchen cupboard, helping to make siting and installation simple.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Viessmann vitodens 050-W 30kW combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ro/nt/159729_159731_front_wm.jpg,,,,,,12.2 l/m,Natural Gas / LPG,,7 Years,35 kg,A,N,A,,300,,92,Wall Mounted,333327 PK,Combi Boiler,N,For wall-mounted installation,LPG compatible with no conversion kit required,Offers DHW output of 25.4kW,ErP A-rated efficiency of 92%,Ultra-compact design for fitting into kitchen cupboard,Measures just 700mm in height and 300mm depth,7 year warranty,,,,,,,,,,,,,,,,,,,,,,
38,P333708,Viessmann Vitodens 100-W 30 combi boiler 100-W 30kW,Viessmann,1225.38,"With a range of handy features to make installation simple, the Viessmann Vitodens 100-W 30 combi boiler is an ideal replacement for older models, providing much improved efficiency, modern ease-of-use and compact dimensions for a less obtrusive fit. With its reliable inbuilt Inox-Radial heat exchanger this 30kW boiler promises longevity and reduced waste, earning it an ErP A rating and high SEDBUK seasonal efficiency rating, keeping running costs impressively low.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Viessmann Vitodens 100-W 30 combi boiler 100-W 30kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/89/147189_wm.jpg,,,,,,12 L/min,Natural Gas,Vitodens 100-W,5 Year,35 kg,A,N,A,30 kW,360,"333708, 333743",94,Wall,333708 PK,Combi Boiler,N,"Compact, space-saving dimensions",Low installed height,Installation space for adaptation to existing systems,Pre-plumbing jig provided with standard boiler kit,Additional installation aids such as a rear-piping frame are available,Flexible installation with flue length up to 19M (sealed room),Front servicing access,"Backlit LCD touchscreen for easy control, even in dark environments",,,,Reliable stainless steel Inox-Radial heat exchanger,Modulation range up to 1:6,White/Gloss,"Patented technology, manufactured by Viessmann",Approved for multiple connections to stacks in multi-storey buildings,SEDBUK 2009 seasonal efficiency 89.5%,DHW flow rate of 12LPM at 35°C,High efficiency A-rated pump with automatic speed control (only with outdoor sensor),Simple conversion kit to LPG,10 year warranty on the Inox-Radial heat exchanger,A,5 year warranty,Extended warranty available when following Viessmann installation specification and guidelines,,,,,
39,P115085,Baxi Baxi Assure 536 combi 2 natural gas boiler,Baxi,1436.13,"Compact and attractive, the wall-mounted Baxi Assure 536 Combi 2 natural gas boiler will fit effortlessly into most households. Supplied with fittings, valves and a filling link, this smart 36kW boiler provides highly reliable central heating and instantaneous hot water while maintaining an ErP A rating for energy efficiency.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Baxi Baxi Assure 536 combi 2 natural gas boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/85/115085_wm.jpg,,,,,,15,Natural Gas / LPG,Baxi Assure,2,KG,A,N,A,36 kW,285,,94,Bracket,7814311,Boiler,N,Supplied with mounting bracket and screws,Includes isolation valves and rigid filling link,Suitable for natural gas or LPG,A rating for energy efficiency,94% SAP rating,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,
40,P151024,Baxi 836 7814305 combi boiler 2 natural gas,Baxi,1349.25,"Lightweight and compact, the Baxi 836 Combi 2 boiler offers easy installation and reliable operation thanks to its robustly built brass hydraulic block, pre-heated condensate trap and stainless steel heat exchanger. Suitable for use with natural gas or LPG, this 36kW boiler is highly efficient, earning it an ErP A rating for both heating and hot water. An Adey Micro 2 magnetic system filter is included in this boiler pack, helping to reduce potential damage and maintain efficiency through the effective removal of potentially damaging debris.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Baxi 836 7814305 combi boiler 2 natural gas,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/24/151024_wm.jpg,,,,,,12.2 lpm,Natural Gas / LPG,836,10 Years Parts and Labour,31.8kg,A,N,A,20 kW,285,,94,hanging bracket,7814306,Boiler - Combi,N,Lightweight design for ease of fitting,Compact cupboard fit,With stainless steel heat exchanger,Tough brass hydraulic block,With Easy-Fill permanent filling link,Pre-heated siphonic condensate trap reduces risk of freezing,Combined PrV with seperate drain for easy maintenance,Includes Adey Micro 2 magnetic system filter,,,,Certified Opentherm,Suitable for natural gas or LPG,,10 year parts and labour warranty,,,,,,,,,,,,,,
41,P333864,Intergas HRE OV 30 compact heat only boiler,Intergas,938.0,"The wall-mounted Intergas Compact HRE 30 OV gas-fired boiler is designed to effectively transfer heat to a central heating system's water circuit for reliable home warmth at an ErP A rating. Suitable for use with a storage cylinder, this modulating boiler can also supply reliable hot water and, with next to no standby losses, no air pressure switch and hassle-free installation and maintenance, it is a cost effective addition to the family home.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Intergas HRE OV 30 compact heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/e_/ov/Intergas_HRE_OV_wm.jpg,,,,,,,Natural Gas,HRE OV,7 Years,36 kg,A,N,,30 kW,240,333864,93,Wall Hung,333864 PK,Condensing Open Vent Boiler,N,Suitable for use in open vent systems with a heating system feed tank,Fitted with a modulating control to adjust power in line with heat requirements,No air pressure switch,Easy to service and maintain,Almost no standby losses,7 year warranty,,,,,,,,White/Gloss,,,,,,,,A,,,,,,,
42,P153790,Baxi Combi 2 424 NG boiler 24kW,Baxi,513.09,"Suitable for natural gas and ready to run on 20% hydrogen, the wall-mounted Baxi 400 Series 2 24kW boiler is a highly efficient option for any home. Neat and compact, this combi is suitable for installation inside a cupboard and weighs less than 30kg, making installation easier for the engineer. The Series 2 is supplied with a hanging bracket, meaning that fitting won't require extra parts or create unnecessary mess.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Baxi Combi 2 424 NG boiler 24kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/90/153790_wm.jpg,,,,,,9.8L/Min @ 35 Deg C Rise,Natural Gas,Combi 2,5 Year,28kg,A,N,A,24 kW,285,,93,Wall Mounted,7790614,Combi Boiler,N,Brass hydraulics,Compact cupboard fit,Stainless steel heat exchanger,Easy wiring for simpler installation,20% hydrogen/gas mix ready,With rigid filling tank,A-rated efficiency,5 year warranty,,,,,,,,,,,,,,,,,,,,,
43,P112914,Worcester Bosch Greenstar CDi Compact 28CDi NG compact ErP combi boiler,Worcester Bosch,1104.19,"A great option for busy households, the Worcester Bosch Greenstar 28CDi Compact condensing boiler is well-suited to medium sized homes with up to three bedrooms and two bathrooms. Fitting into a standard kitchen cupboard with ease this 28kW output boiler makes fitting easy through the use of a lift weight optimised split jig design. Producing hot water on demand, the low energy consumption Greenstar has an energy efficiency ErP rating of A or up to A+ when connected to the Bosch EasyControl smart thermostat. A clear diagnostic and operation display and intelligent controls, pre-heat and eco modes and innovative WB7 heat exchanger make sure that this boiler is affordable to run, easy to use and requires minimal maintenance.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Worcester Bosch Greenstar CDi Compact 28CDi NG compact ErP combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/19/112914_112919_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Bosch_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_CDi_Compact_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_CDi_Compact_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/W_B_Greenstar_28CDi_Compact_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/W_B_Greenstar_28CDi_Compact_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P333617,Ideal Logic+ Combi C30 boiler only,Ideal,913.0,"Compact, lightweight and fully modulating down to as low as 4.8kW, the Energy Saving Trust recommended Ideal Logic+ Combi C30 boiler provides high levels of energy efficiency, earning an ErP A rating. Containing the lowest possible number of components, a range of additional flueing options, preformed copper tails and a built-in filling loop, this 30kW output combi makes installation and servicing easy and reduces the need for expensive maintenance call outs. It also features an easy to read display for fuss-free operation. Ideal for fitting inside a kitchen or utility cupboard the slimline Combi C30 suits the family home where storage space is highly prized.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal Logic+ Combi C30 boiler only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/cl/ip/Logic+ Combi C24_clip_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic+Combi_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Logic+_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Logic+_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Logic_Plus_Warranty.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P333110,Alpha E-Tec Nx 33kW Combi Boiler,Alpha,605.0,"Lightweight, compact and quiet for ease of installation and siting, the Alpha E-Tec 33NX system boiler is fitted with an up-to-the-minute stainless steel heat exchanger for the highest levels of efficiency and reliability. Easy to commission and to operate, this modern 33kW system boiler is fitted with a newly designed clear, backlit display and control panel meaning that everyday tasks like setting times and temperatures are simpler than ever.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Alpha E-Tec Nx 33kW Combi Boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_9/04/195895_904_wm.jpg,,,,,,14.1,Natural Gas,,7 Years,40,A,N,A,3.3 kW,255,,89.4,Wall Hung,333110 PK,System Boiler,N,For wall mounted installation,Lightweight thermoplastic moulded stainless steel main heat exchanger,Revised double casing design for quieter operation,Backlit display for ease of operation,"Simple, modern control panel interface",With removable push-fit flue connection,Range output is fully adjustable,Fitted with Delta T variable speed pump,,,,ErP A rating for improved efficiency,7 year warranty,,,,,,,,,,,,,,,,
46,P195895,Alpha E-Tec NX 28kW Combi Boiler,Alpha,721.53,"Lightweight, compact and quiet for ease of installation and siting, the Alpha E-Tec 28NX system boiler is fitted with an up-to-the-minute stainless steel heat exchanger for the highest levels of efficiency and reliability. Easy to commission and to operate, this modern 28kW system boiler is fitted with a newly designed clear, backlit display and control panel meaning that everyday tasks like setting times and temperatures are simpler than ever.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Alpha E-Tec NX 28kW Combi Boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/95/195895_wm.jpg,,,,,,12.1,Natural Gas,,7 Years,3.8,A,N,A,28 kW,255,,89.4,Wall Hung,3.033112,System Boiler,N,For wall mounted installation,Lightweight thermoplastic moulded stainless steel main heat exchanger,Revised double casing design for quieter operation,Backlit display for ease of operation,"Simple, modern control panel interface",With removable push-fit flue connection,Range output is fully adjustable,Fitted with Delta T variable speed pump,,,,ErP A rating for improved efficiency,7 year warranty,,,,,,,,,,,,,,,,
47,P115083,Baxi Assure 524 combi 2 natural gas boiler,Baxi,1135.76,"Compact and attractive, the wall-mounted Baxi Assure 524 Combi 2 natural gas boiler will fit effortlessly into most households. Supplied with fittings, valves and a filling link, this smart 24kW boiler provides highly reliable central heating and instantaneous hot water while maintaining an ErP A rating for energy efficiency.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Baxi Assure 524 combi 2 natural gas boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/83/115083_wm.jpg,,,,,,10.2,Natural Gas / LPG,Assure,2,KG,A,N,A,24 kW,285,,94,Bracket,7814309,Boiler,N,Supplied with mounting bracket and screws,Includes isolation valves and rigid filling link,Suitable for natural gas or LPG,A rating for energy efficiency,94% SAP rating,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,
48,P114453,Ideal Logic Combi ESP1 24 ErP combi boiler 24kW,Ideal,864.14,"Developed with social housing and new build compliance in mind, the fully modulating Ideal Logic Combi ESP1 24 boiler delivers on SAP and DER performance and with its Energy Saving Trust endorsement and ErP A rating, ensures the best in energy efficiency. Simple to use, the 24kW ESP1 features an easy to read backlit display and can be installed in the most convenient position, whether that's in the cloakroom, in a kitchen cupboard or in a housing unit. Compact and lightweight, with a reduced number of internal components and inbuilt frost protection, this reliable, uncomplicated boiler ensures maintenance and servicing is affordable and pain-free.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal Logic Combi ESP1 24 ErP combi boiler 24kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/55/114450_114455_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Logic_Combi_ESP1_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Logic_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Combi_ESP1_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/114453_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Logic_Combi_ESP1_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P153787,Baxi Combi 2 224 NG boiler 24kW,Baxi,562.69,"Suitable for natural gas and ready to run on 20% hydrogen, the wall-mounted Baxi 200 Series 2 24kW boiler is a highly efficient option for any home. Neat and compact, this combi is suitable for installation inside a cupboard and weighs less than 30kg, making installation easier for the engineer. The Series 2 is supplied with a hanging bracket, meaning that fitting won't require extra parts or create unnecessary mess.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Baxi Combi 2 224 NG boiler 24kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/87/153787_wm.jpg,,,,,,9.8L/Min @ 35 Deg C Rise,Natural Gas,Combi 2,2 Year,26.5 kg,A,N,A,24 kW,285,N/A,93,Wall Mounted,7790612,Combi Boiler,N,With composite hydraulics,Compact cupboard fit,Stainless steel heat exchanger,Easy wiring for simple installation,20% hydrogen/gas mix ready,A-rated efficiency,2 year warranty,,,,,,,,,,,,,,,,,,,,,,
50,P333153,Ideal i-mini C30 combi boiler only pack,Ideal,619.0,"Where space is at a premium install the Wolseley exclusive Ideal i-mini C30 boiler. Installation, repair and servicing of the ultra-compact i-mini is easy even in the most challenging home, with fewer overall components, a reduced lift weight and a wide range of flueing options for flexible siting. Fast hot water delivery, easy operation, a fuel bill reducing high SEDBUK efficiency rating and an ErP A rating make this 30kW i-mini output boiler just as popular with the every day user as it is with the installer.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal i-mini C30 combi boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/52/333152_wm.jpg,,,,,,,Natural Gas,I-Mini,,,,N,,,,"333009, 333011, 333153",,,333153 PK,Combi Boiler,N,"Exclusive to Wolseley, this boiler isn't available from any other supplier",Easy to read pressure gauge,Low lift weight,Low component count maximises reliability,High SEDBUK efficiency,Fast hot water response through DHW preheat,Compact cupboard fit,Wide range of additional flueing options for flexible siting,,,,5 year warranty,,,,,,,,,,,,,,,,,
51,P333152,Ideal i-mini C24 combi boiler only pack,Ideal,578.0,"Fitting of the Wolseley exclusive Ideal i-mini C24 boiler is easy, even in the tightest or most awkward of positions. As powerful as it is small, the super-compact i-mini is designed with the technician in mind, saving on installation time and making maintenance easy with fewer components to deal with, a lift weight your back will thank you for and the option to site just about anywhere thanks to a wide range of flueing options. Likewise the owner of this reliable 24kW output combi will love its speedy hot water delivery and wallet-friendly ErP A rating and SEDBUK efficiency rating just as much as its space-saving footprint.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal i-mini C24 combi boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/52/333152_wm.jpg,,,,,,,Natural Gas,I-Mini,,,,N,,,,"333008, 333010, 333152",,,333152 PK,Combi Boiler,N,"Exclusive to Wolseley, this boiler isn't available from any other supplier",Easy to read pressure gauge,Low lift weight,Low component count maximises reliability,High SEDBUK efficiency,Fast hot water response through DHW preheat,Compact cupboard fit,Wide range of additional flueing options for flexible siting,,,,5 year warranty,,,,,,,,,,,,,,,,,
52,P125248,Ideal Heating I-Mini 228320 I-mini 2 C30,Ideal Heating,710.24,"Exclusive to Wolseley, the Ideal i-mini2 C30 combi boiler offers simplified installation and easy servicing, making it a particularly attractive proposition for heating engineers looking to maximise their time. Ultra-compact, this lightweight boiler has a range of flueing options for flexible siting while the reduced number of internal components means there's less to go wrong - great news for your clients. Easy to operate, the i-mini2 delivers hot water quickly for frustration-free use.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal Heating I-Mini 228320 I-mini 2 C30,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/48/125248_wm.jpg,,,,,,12.4,Natural Gas,I-Mini,5 Years,32.9 kg,A,N,A,30 kW,310,No,89.6,Wall Mounted,228320,Combi Boiler,N,With easy-read pressure gauge,Low lift weight for ease of installation,Low component count for reliability,High SEDBUK efficiency,Fast hot water response using DHW preheat,Compact cupboard fit for convenient installation,ErP A rated,5 year warranty,,,,,,,,,,,,,,,,,,,,,
53,P333348,Baxi Platinum+ Combi 40 combi boiler only pack 40kW,Baxi,1488.0,"The British-built Baxi Platinum+ Combi 40 condensing boiler is hardwearing and efficient, featuring built-to-last brass hydraulics for long-lasting, low-maintenance use. Containing an Adey Micro2 Magnetic System filter to protect the whole heating system, this 40kW combi has been designed to offer consistently high levels of hot water performance. Front access to all components, an Easy-Fill filling link for engineer-free system top-up, Multifit flue compatibility and inbuilt frost protection make this combi simple and affordable to maintain. Operated through the OpenTherm interface, the ErP A-rated Platinum+ puts control in the owner's palm via smartphone app.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Baxi Platinum+ Combi 40 combi boiler only pack 40kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/pl/us/Baxi_Platinum 40 plus_wm.jpg,,,,,,"19.1 L/min @ 30°C, 16.4 L/min @ 35°C",Natural Gas,Platinum+ Combi,10 Years,42.2 kg,A,N,A,,345,"333348, 333349",92,Wall Hung,333348 PK,Condensing Combi Boiler,N,High flow rate,Easy to install and maintain,"Includes Adey Micro2 Magnetic System filter, for complete system protection",Optional built-in mechanical 24 hour timer,Front access to all components,Easy-Fill permanent filling link,Built-in frost thermostat,Compatible with Multifit flue kits,,,,OpenTherm interface,Compatible with Baxi uSense,,10 year warranty,,,,,,,,,,,,,,
