,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Diameter,Range,Thickness,Warranty,Hazardous,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 4,Attachment 5,Attachment 6,Pipe Size,Feature 13,Length (M),Attachment 7,Attachment 8,Attachment 9,Attachment 10,Attachment 11
38,P129868,Armaflex evo self seal 19mm thk 22mm od 2m,Armaflex,15.31,"Offering flexible insulation against condensation, freezing and energy losses, this 2M length of Armaflex Evo self-seal 22mm elastomeric foam insulation can be used on pipes, air ducts and vessels. With a 19mm thickness, Armaflex Evo is suitable for hot and cold water services, air conditioning and refrigeration pipework, chilled water pipes and heating systems.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex evo self seal 19mm thk 22mm od 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/68/129868_wm.jpg,,,,Black,,,19mm,,N,Flexible Elastometic Foam insulation,IAFEU19022600,Thermal insulation,N,Reliably controls condensation,Offers effective reduction of thermal losses,Built-in Microban antimicrobial protection reduces mould and bacteria growth,Closed cell structure,Dust and fibre free,Xero GWP,Pre-slit tube for ease of installation,Self-sealing for faster fitting,"Euroclass BL-s2,d0 fire performance",FM Approved,,,,,,22 mm,,,,,,,
39,P129857,Armaflex evo self seal 13mm thk 28mm od 2m,Armaflex,10.92,"Offering flexible insulation against condensation, freezing and energy losses, this 2M length of Armaflex Evo self-seal 28mm elastomeric foam insulation can be used on pipes, air ducts and vessels. With a 13mm thickness, Armaflex Evo is suitable for hot and cold water services, air conditioning and refrigeration pipework, chilled water pipes and heating systems.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex evo self seal 13mm thk 28mm od 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/57/129857_wm.jpg,,,,Black,,,13mm,,N,Flexible Elastometic Foam insulation,IAFEU13028600,Thermal insulation,N,Reliably controls condensation,Offers effective reduction of thermal losses,Built-in Microban antimicrobial protection reduces mould and bacteria growth,Closed cell structure,Dust and fibre free,Xero GWP,Pre-slit tube for ease of installation,Self-sealing for faster fitting,"Euroclass BL-s2,d0 fire performance",FM Approved,,,,,,28 mm,,,,,,,
40,P621341,Armaflex Evo technical insulation 3/4in OD x 1/2in WT - 2mtr,Armaflex,3.19,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex Evo technical insulation 3/4in OD x 1/2in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,20 mm,Evo,20 mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU13020000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,
41,P621345,Armaflex Evo technical insulation 1-5/8in OD x 1/2in WT - 2mtr,Armaflex,5.34,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex Evo technical insulation 1-5/8in OD x 1/2in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,42 mm,Evo,42mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU13042000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,
42,P621330,Armaflex Evo technical insulation 5/8in OD x 3/8in WT - 2mtr,Armaflex,2.07,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex Evo technical insulation 5/8in OD x 3/8in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,15 mm,Evo,1.5 mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU09015000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,
43,P129924,Armaflex evo slit 19mm thk 28mm od pipe 2m,Armaflex,27.7,"Offering flexible insulation against condensation, freezing and energy losses, this 2M length of Armaflex Evo 28mm elastomeric foam insulation can be used on pipes, air ducts and vessels. With a 19mm thickness, Armaflex Evo is suitable for hot and cold water services, air conditioning and refrigeration pipework, chilled water pipes and heating systems.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex evo slit 19mm thk 28mm od pipe 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/24/129924_wm.jpg,,,,Black,,,19mm,,N,Flexible Elastometic Foam insulation,IAFEU19028100,Thermal insulation,N,Reliably controls condensation,Offers effective reduction of thermal losses,Built-in Microban antimicrobial protection reduces mould and bacteria growth,Closed cell structure,Dust and fibre free,Xero GWP,Pre-slit tube for ease of installation,"Euroclass BL-s2,d0 fire performance",FM Approved,,,,,,,28 mm,,,,,,,
44,P129903,Armaflex evo slit 13mm thk 15mm od pipe 2m,Armaflex,10.59,"Offering flexible insulation against condensation, freezing and energy losses, this 2M length of Armaflex Evo 15mm elastomeric foam insulation can be used on pipes, air ducts and vessels. With a 13mm thickness, Armaflex Evo is suitable for hot and cold water services, air conditioning and refrigeration pipework, chilled water pipes and heating systems.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex evo slit 13mm thk 15mm od pipe 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/03/129903_wm.jpg,,,,Black,,,13mm,,N,Flexible Elastometic Foam insulation,IAFEU13015100,Thermal insulation,N,Reliably controls condensation,Offers effective reduction of thermal losses,Built-in Microban antimicrobial protection reduces mould and bacteria growth,Closed cell structure,Dust and fibre free,Xero GWP,Pre-slit tube for ease of installation,"Euroclass BL-s2,d0 fire performance",FM Approved,,,,,,,15 mm,,,,,,,
45,P190701,Climaflex Standard slit pipe insulation 35mm x 25mm (Per Metre),Climaflex,11.87,"This flexible Climaflex 2M long standard insulating tube for 35mm pipes is made of a foamed, closed-cell polyethylene based on NMC Naturefoam®, featuring a minimum of 50% renewable raw materials. Fitted well, this 25mm grey foam insulates effectively for excellent efficiency, maximising the economy and minimising the environmental impact of a system.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Climaflex Standard slit pipe insulation 35mm x 25mm (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/02/190698_190702_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Climaflex_Installation Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Climaflex_0025c_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Climaflex_Fitting_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/CLIMAFLEX_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Climaflex Leaflet 2015.pdf,,,,,,,,,
46,P190690,Climaflex Pipe Insulation semi-slit pipe insulation 35 x 13mm,Climaflex,4.22,"Climaflex 13mm thick pipe insulation is made of flexible foamed, closed cell polyethylene with NMC Nature foam, containing at least 50% renewable raw materials for a more environmentally-friendly installation. Supplied in 2M lengths, this professional grade slit insulation is designed for 35mm pipes.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Climaflex Pipe Insulation semi-slit pipe insulation 35 x 13mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/92/190687_190692_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Climaflex_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Climaflex_Product_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Climaflex_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Climaflex_nmc_Nature_Foam_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Climaflex_Leaflet_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Climaflex_Decla_Of_Performance.pdf,,,,,,,,
47,P187227,Isover glass foiled insulation 1.2mtr x 22mm x 20mm,Isover,59.28,"Supplied in a 1.2M length, this Isover 22 x 20mm foiled glass mineral wool insulation includes pre-formed snap-on sections for ease of installation, along with self-adhesive lap for the reliable sealing of a strong vapour barrier. Reducing the number of joints required across a system, this well-designed insulation minimises time spent on-site.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Isover glass foiled insulation 1.2mtr x 22mm x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/46/187226_187246_wm.jpg,,,,Natural,,,20 mm,,N,Glass Mineral Wool,LAGG022020,Pipe Insulation,N,Glass mineral wool construction,Natural colour,"Fast, simple installation saves on-site time",Quick snap-on sections,Self-adhesive overlap reduces need for tape,CE marked to EN14303,,,,,,,,,,22 mm,,,,,,,
48,P129923,Armaflex evo slit 19mm thk 22mm od pipe 2m,Armaflex,20.57,"Offering flexible insulation against condensation, freezing and energy losses, this 2M length of Armaflex Evo 22mm elastomeric foam insulation can be used on pipes, air ducts and vessels. With a 19mm thickness, Armaflex Evo is suitable for hot and cold water services, air conditioning and refrigeration pipework, chilled water pipes and heating systems.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex evo slit 19mm thk 22mm od pipe 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/23/129923_wm.jpg,,,,Black,,,19mm,,N,Flexible Elastometic Foam insulation,IAFEU19022100,Thermal insulation,N,Reliably controls condensation,Offers effective reduction of thermal losses,Built-in Microban antimicrobial protection reduces mould and bacteria growth,Closed cell structure,Dust and fibre free,Xero GWP,Pre-slit tube for ease of installation,"Euroclass BL-s2,d0 fire performance",FM Approved,,,,,,,22 mm,,,,,,,
49,P621364,Armaflex Evo technical insulation 1-1/8in OD x 1in WT - 2mtr,Armaflex,11.33,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex Evo technical insulation 1-1/8in OD x 1in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,28 mm,Evo,28mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU25028000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,
50,P129892,Armaflex evo slit 9mm thk 15mm od pipe 2m,Armaflex,8.02,"Offering flexible insulation against condensation, freezing and energy losses, this 2M length of Armaflex Evo 15mm elastomeric foam insulation can be used on pipes, air ducts and vessels. With a 9mm thickness, Armaflex Evo is suitable for hot and cold water services, air conditioning and refrigeration pipework, chilled water pipes and heating systems.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex evo slit 9mm thk 15mm od pipe 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/92/129892_wm.jpg,,,,Black,,,9 mm,,N,Flexible Elastometic Foam insulation,IAFEU09015100,Thermal insulation,N,Reliably controls condensation,Offers effective reduction of thermal losses,Built-in Microban antimicrobial protection reduces mould and bacteria growth,Closed cell structure,Dust and fibre free,Xero GWP,Pre-slit tube for ease of installation,"Euroclass BL-s2,d0 fire performance",FM Approved,,,,,,,15 mm,,,,,,,
51,P129908,Armacell Armaflex Evo 42mm x13mm x 2m Pipe insulation,Armacell,19.49,"Helping to improve fire-retardancy, the low smoke generating Armaflex Evo 42mm diameter self-seal pipe insulation, supplied in a 2M length, is manufactured in a flexible elastomeric foam and offers suitability for HVAC, refrigeration and process equipment applications. Improving efficiency without risking corrosion, this 13mm thick pipe jacket has a closed-cell structure for excellent insulating properties and is Microban-treated for antimicrobial protection.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armacell Armaflex Evo 42mm x13mm x 2m Pipe insulation",,25 x 2m length,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/08/129908_wm.jpg,,,,Black,,,13mm,,N,Flexible elastomeric foam,IAFEU13042100,Pipe Insulation,N,Flexible elastomeric foam construction,With Microban antimicrobial protection,Closed cell structure reduces risk of corrosion under insulation,Enhances system reliability,Low thermal conductivity for energy saving on pipework,Self seals for quicker install,"Fire safety BL-s2,d0",,,,,,,,,42mm,,,,,,,
52,P129912,"Armacell Armaflex EVO slit pipe insulation 2m lengths, 13mm thickness",Armacell,39.21,"Helping to improve fire-retardancy, the low smoke generating Armaflex Evo 67mm diameter slit pipe insulation, supplied in a 2M length, is manufactured in a flexible elastomeric foam and offers suitability for HVAC, refrigeration and process equipment applications. Improving efficiency without risking corrosion, this 13mm thick pipe jacket has a closed-cell structure for excellent insulating properties and is Microban-treated for antimicrobial protection.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armacell Armaflex EVO slit pipe insulation 2m lengths, 13mm thickness",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/12/129912_wm.jpg,,,,Black,,,13mm,,N,Flexible elastomeric foam,IAFEU13067100,Pipe Insulation,N,Flexible elastomeric foam construction,Microban treated for antimicrobial protection,Closed cell structure for reduced risk of under-insulation corrosion,Offers improved system reliability,Low thermal conductivity for energy saving on pipework,"Fire safety BL-s3,d0",,,,,,,,,,67mm,,,,,,,
53,P621365,Armaflex Evo technical insulation 1-3/8in OD x 1in WT - 2mtr,Armaflex,12.75,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex Evo technical insulation 1-3/8in OD x 1in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,35mm,Evo,3.5 mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU25035000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,
54,P190692,Climaflex Pipe Insulation semi-slit pipe insulation 54 x 13mm,Climaflex,7.04,"Climaflex 13mm thick pipe insulation is made of flexible foamed, closed cell polyethylene with NMC Nature foam, containing at least 50% renewable raw materials for a more environmentally-friendly installation. Supplied in 2M lengths, this professional grade slit insulation is designed for 54mm pipes.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Climaflex Pipe Insulation semi-slit pipe insulation 54 x 13mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/92/190687_190692_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Climaflex_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Climaflex_Product_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Climaflex_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Climaflex_Leaflet_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Climaflex_nmc_Nature_Foam_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Climaflex_Decla_Of_Performance.pdf,,,,,,,,
55,P187228,Isover glass foiled insulation 1.2mtr x 28mm x 20mm,Isover,63.02,"Supplied in a 1.2M length, this Isover 28 x 20mm foiled glass mineral wool insulation includes pre-formed snap-on sections for ease of installation, along with self-adhesive lap for the reliable sealing of a strong vapour barrier. Reducing the number of joints required across a system, this well-designed insulation minimises time spent on-site.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Isover glass foiled insulation 1.2mtr x 28mm x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/46/187226_187246_wm.jpg,,,,Natural,,,20 mm,,N,Glass Mineral Wool,LAGG028020,Pipe Insulation,N,Glass mineral wool construction,Natural colour,"Fast, simple installation saves on-site time",Quick snap-on sections,Self-adhesive overlap reduces need for tape,CE marked to EN14303,,,,,,,,,,28 mm,,,,,,,
56,P129847,Armaflex Evo self seal 9mm thk 22mm od 2m,Armaflex,7.27,"Helping to improve fire-retardancy, the low smoke generating Armaflex Evo 22mm diameter self-seal pipe insulation, supplied in a 2M length, is manufactured in a flexible elastomeric foam and offers suitability for HVAC, refrigeration and process equipment applications. Improving efficiency without risking corrosion, this 9mm thick pipe jacket has a closed-cell structure for excellent insulating properties and is Microban-treated for antimicrobial protection.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex Evo self seal 9mm thk 22mm od 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/47/129847_wm.jpg,,,,Black,,Evo,9 mm,,N,Flexible elastomeric foam,IAFEU09022600,Pipe Insulation,N,Flexible elastomeric foam construction,Microban treated for antimicrobial protection,Closed cell structure for reduced risk of under-insulation corrosion,Offers improved system reliability,Low thermal conductivity for energy saving on pipework,"Fire safety BL-s3,d0",,,,,,,,,,22 mm,,,,,,,
57,P187237,Isover glass foiled insulation 1.2mtr x 35mm x 25mm,Isover,79.1,"Supplied in a 1.2M length, this Isover 35 x 25mm foiled glass mineral wool insulation includes pre-formed snap-on sections for ease of installation, along with self-adhesive lap for the reliable sealing of a strong vapour barrier. Reducing the number of joints required across a system, this well-designed insulation minimises time spent on-site.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Isover glass foiled insulation 1.2mtr x 35mm x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/46/187226_187246_wm.jpg,,,,Natural,,,2.5 mm,,N,Glass Mineral Wool,LAGG035025,Pipe Insulation,N,Glass mineral wool construction,Natural colour,"Fast, simple installation saves on-site time",Quick snap-on sections,Self-adhesive overlap reduces need for tape,CE marked to EN14303,,,,,,,,,,35 mm,,,,,,,
58,P190702,Climaflex Pipe Insulation slit pipe insulation 42mm x 25mm (Per Metre),Climaflex,13.47,"Climaflex 25mm thick pipe insulation is made of flexible foamed, closed cell polyethylene with NMC Nature foam, containing at least 50% renewable raw materials for a more environmentally-friendly installation. Supplied in 2M lengths, this professional grade slit insulation is designed for 42mm pipes.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Climaflex Pipe Insulation slit pipe insulation 42mm x 25mm (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/02/190698_190702_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Climaflex_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Climaflex_Product_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Climaflex_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Climaflex_Leaflet_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Climaflex_nmc_Nature_Foam_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Climaflex_Decla_Of_Performance.pdf,,,,,,,,
