,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Anti Slip,Colour,Range,Hazardous,Grips/Handles,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Pack Quantity,Flush Type,Style,Warranty,Weight,Depth (mm),Material,Mounting Type,Application,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
10,PD01097,Balmorals Warwick 3 bowl exposed urinal pipe set,Balmorals,111.57,"Highly durable, this quality Balmorals Warwick exposed three bowl stainless steel urinal pipe set offers compatibility with most urinal ranges with 95mm offset header tanks.",Commercial Plumbing/Urinals/Urinals.csv -> Balmorals Warwick 3 bowl exposed urinal pipe set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/97/NW-D01097_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D01097_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PB78990,Ideal Standard concealed hangers for urinal,Ideal Standard,4.29,"An Ideal Standard contemporary metal wall hanger, suitable for mounting urinal bowls.",Commercial Plumbing/Urinals/Urinals.csv -> Ideal Standard concealed hangers for urinal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/90/NW-B78990_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_S927567_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PB89181,Twyford Urinals ceramic urinal divider White,Twyford,122.97,A Twyford ceramic urinal divider finished in white.,Commercial Plumbing/Urinals/Urinals.csv -> Twyford Urinals ceramic urinal divider White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/81/NW-B89181_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Twyford_Urinal_Division_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_Urinal_Division_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PD95315,Ideal Standard Sanura urinal pack 40cm,Ideal Standard,166.12,"This Ideal Standard Sanura 400mm wall-mounted urinal pack includes wall hangers, waste and top inlet spreader.",Commercial Plumbing/Urinals/Urinals.csv -> Ideal Standard Sanura urinal pack 40cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/15/NW-D95315_wm.jpg,,,,,,N/A,White,Sanura,N,N/A,D95315 PK,Urinal Pack,N,Wall urinal,Vitreous china,2x sizes available,,,,,,,,,,,,,,,
14,PU94898,Geberit glass urinal division White,Geberit,595.79,"This Geberit urinal division is made of ESG toughened safety glass with a white finish. Measuring 754 x 432 x 40mm, it is suitable for mounting on solid walls or drywall.",Commercial Plumbing/Urinals/Urinals.csv -> Geberit glass urinal division White,,Urinal division;Cover;Wall-mounted holder;Fastening material,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/00/NW-U94898_U94900_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_Urinal_Division_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PB30100,Twyford Camden urinal bowl White,Twyford,133.98,"The Twyford Camden standard flushing urinal incorporates a shallow open bowl design, water guide channels and is suitable for exposed or concealed cistern and flush pipes.",Commercial Plumbing/Urinals/Urinals.csv -> Twyford Camden urinal bowl White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/00/NW-B30100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Twyford_Specification_Manual_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Twyford_Urinals_E_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_Camden_Urinal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/es/Twyford_Clifton_Certificates.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/B30100_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PB77100,Ideal Standard Sanura urinal bowl 510mm White,Ideal Standard,294.78,"The Ideal Standard Sanura concealed auto-cistern wall urinal is built in durable vitreous china and intended for exposed plumbing. Available in two sizes, the Sanura is ideal for combined junior and adult installations.",Commercial Plumbing/Urinals/Urinals.csv -> Ideal Standard Sanura urinal bowl 510mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/00/NW-B77100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Armitage_Shanks_Sanura_3316_1_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PB78000,Ideal Standard Core urinal division hinge with screw White,Ideal Standard,127.09,"Improve privacy with this Ideal Standard Core urinal divider screen, supplied with screw and hanger.",Commercial Plumbing/Urinals/Urinals.csv -> Ideal Standard Core urinal division hinge with screw White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/00/B78000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B78000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Armitage_Shanks_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PD06418,Saracen WhiffAway Waterless Urinals waterless cartridge for aridian,Saracen,50.5,"Saracen Waterless Falcon/Aridian Retro-fit Adaptor Pack.  Simple to install/convert existing Falcon/Aridian urinal bowl, with instructions provided.  Helpline provided for technical support",Commercial Plumbing/Urinals/Urinals.csv -> Saracen WhiffAway Waterless Urinals waterless cartridge for aridian,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/18/NW-D06418_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ba/ll/Saracen_ChangingthePowerBall.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/D06418_Saracen_Maintenance.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Whiffaway_CartridgeBlock_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_D06416-D06419_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/ss/Saracen_D06416-D06419_ConvrsnProcess.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PD06480,Saracen debris catcher (Pack of 10),Saracen,36.92,This pack of 10 Saracen Whiffaway debris catchers are for use in Saracen waterless urinals.,Commercial Plumbing/Urinals/Urinals.csv -> Saracen debris catcher (Pack of 10),,Bag of 10 x debris catchers (WHIF-CUP-10),https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/80/D06480_wm.jpg,,,,,,,,,N,,WHIF-CUP,Debris Catcher,N,Replacement Power-Ball debris catcher/cup,"captures all foreign debris (tissue paper, chewing gum, etc.) before entering the plumbing system.",,pack of 10,,,,,,,,,,,,,,
20,PD95304,Ideal Standard 1-person exposed urinal pack,Ideal Standard,494.78,This Ideal Standard Armitage urinal pack is designed to be accessible to wheelchair users and the ambulant disabled.,Commercial Plumbing/Urinals/Urinals.csv -> Ideal Standard 1-person exposed urinal pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/05/Sanura_S6105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D95304_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PD95305,Ideal Standard 2-person exposed urinal pack,Ideal Standard,769.4,Exposed flush pipes for two bowl urinals with Mura auto cisterns.,Commercial Plumbing/Urinals/Urinals.csv -> Ideal Standard 2-person exposed urinal pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/05/Sanura_S6105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D95305_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PB98815,Ideal Standard Sandringham urinal bowl White,Ideal Standard,136.98,"Meeting building regulation requirements, the Ideal Standard Sandringham urinal bowl is designed for wheelchair accessibility and is suitable for ambulant disabled users.",Commercial Plumbing/Urinals/Urinals.csv -> Ideal Standard Sandringham urinal bowl White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/15/NW-B98815_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AShanks_DocMUrinals_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Sandringham21_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PB30000,Twyford Clifton urinal bowl only White,Twyford,131.52,The Twyford Clifton standard flushing urinal has a deep bowl yet compact footprint and is suitable for exposed or concealed cistern and flush pipes.,Commercial Plumbing/Urinals/Urinals.csv -> Twyford Clifton urinal bowl only White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/00/NW-B30000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Twyford_Specification_Manual_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Clifton_Concealed_Urinl_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Twyford_Urinals_E_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/B30000_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/es/Twyford_Clifton_Certificates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PG73252,Pland Fife SAN6156 urinal with exposed sparge left hand waste 1200mm,Pland,459.58,"This Pland Fife trough urinal pack is supplied with plastic cistern and stainless steel sparge flushing pipe. The sparge is located below an integral valance and 2"" domed plastic urinal waste.",Commercial Plumbing/Urinals/Urinals.csv -> Pland Fife SAN6156 urinal with exposed sparge left hand waste 1200mm,,Trough urinal;Plastic cistern;Stainless steel sparge flushing pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/56/NW-G73251_G73256_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pland_File_1511197203_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PD64126,"Pegler cold quarter-turn cartridge 1/2""",Pegler,67.31,"Offering quarter-turn operation, this Pegler Yorkshire replacement 1/2"" cold water valve cartridge is suitable for use with a variety of Pegler products.","Commercial Plumbing/Urinals/Urinals.csv -> Pegler cold quarter-turn cartridge 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/28/NW-D64126_D64128_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/PY_Performa_Spare_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PF41186,"McAlpine plastic urinal waste 1.1/4"" x3.1/2"" White",McAlpine,4.64,"This McAlpine washing machine trap is made of polypropylene (PP) to McAlpine's always high standards. This fitting includes a 1 1/4"" BSP connection and 3 1/2"" plastic tail.","Commercial Plumbing/Urinals/Urinals.csv -> McAlpine plastic urinal waste 1.1/4"" x3.1/2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/86/NW-F41186_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_WU1A_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
