,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions mm (H x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5
10,PS01468,SILICONE RUBBER DOOR GASKET CVC 1.06,Silicone Engineering,45.6,This Silicone Engineering black rubber door gasket is designed for CVC1.06 (as 30300134/20300234).,Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> SILICONE RUBBER DOOR GASKET CVC 1.06,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/68/NW-S01468_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Silicone_kSilAndsuraSil_SDS.pdf,,,,
11,PU90937,BKI lamp gasket,BKI,13.0,"This BKI lamp gasket is compatible with VG16 and VG8 rotisserie ovens, VEAB, E316, E422 and E532.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> BKI lamp gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/37/NW-U90937_wm.jpg,N,x  x,"VG8,VG16",LI034,Gasket,N,,,,,,,
12,PV03094,Greasepak bio-enzyme solution 5 litres (Pack of 3),Greasepak,145.9,"Powerful yet eco-friendly, this Greasepak bio-enzymatic fluid is a multi strain grease degrader (MSGD) designed to efficiently break down FOGs.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Greasepak bio-enzyme solution 5 litres (Pack of 3),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/94/NW-V03094_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Greasepak_Bio_Fuid_MSGD5_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Greasepak_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/me/nt/Greasepak_FOG_Management.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/V03094_Technical.pdf,
13,PU48631,Lincat dispense solenoid for EB3F/PBM,Lincat,176.17,"This Lincat solenoid valve with silicone pipe seal has a 12mm inlet and 10.4mm outlet and offers a maximum temperature of 98°C. It is compatible with EB3FX/PB, EB3FX/TT, EB4FX, EB6FX and EB6TFX automatic water boilers.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Lincat dispense solenoid for EB3F/PBM,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/31/NW-U48631_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Lincat_Spare_Parts_Catalogue.pdf,,,,
14,PV57532,"Lincat 3/4"" solenoid valve",Lincat,34.58,"A Lincat 68.5m, 230V solenoid valve for automatic water boilers.","Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Lincat 3/4"" solenoid valve",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/32/NW-V57532_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Lincat_Spare_Parts_Catalogue.pdf,,,,
15,PV03818,Die-Pat oven door handle,Die-Pat,97.43,A Die-Pat replacement oven door handle.,Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Die-Pat oven door handle,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/18/NW-V03818_wm.jpg,N,x  x,,6200-020970,Handle,N,,,,,,,
16,PV10567,Lincat seal,Lincat,6.14,A Lincat 240 x 162 x 20mm lid gasket for EB6 and EB3 water boilers.,Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Lincat seal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/67/NW-V10567_wm.jpg,N,x  x,"EB3F,EB4F",GA48,Lid Gasket,N,,,,,,,
17,PU12878,BKI oven lamp body with bulb 25w,BKI,32.0,"This BKI oven lamp body with 25W oven bulb is compatible with VG16 and VG8 rotisserie ovens, VEAB, E316,E422 and E532.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> BKI oven lamp body with bulb 25w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/78/NW-U12878_wm.jpg,N,x  x,"VG8,VG16",LI033,Lamp Body and Oven Bulb,N,,,,,,,
18,PU61036,"Oxford Hardware KS90 63700000002 food safe silicone sealant 310ml - white, temp to 200 deg c (1)",Oxford Hardware,7.69,"Fully certified for use in food service settings, this Oxford Hardware KS90 white silicone sealant is a premium grade silicone-based adhesive. Supplied in a 304ml tube, this sealant forms a reliable waterproof seal, keeping moisture out - or in - wherever needed and holding fast right up to 200°C.","Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Oxford Hardware KS90 63700000002 food safe silicone sealant 310ml - white, temp to 200 deg c (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/37/NW-U61035_U61037_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kason_Silicone_Sealant_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Silicone_Sealant_MSDS_2015.pdf,,,
19,PU61035,"Oxford Hardware KS90 63700000001 food safe silicone sealant 310ml - clear,  temp to 200 deg c (1)",Oxford Hardware,7.69,"Fully certified for use in food service settings, this Oxford Hardware KS90 clear silicone sealant is a premium grade silicone-based adhesive. Supplied in a 304ml tube, this sealant forms a reliable waterproof seal, keeping moisture out - or in - wherever needed and holding fast right up to 200°C.","Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Oxford Hardware KS90 63700000001 food safe silicone sealant 310ml - clear,  temp to 200 deg c (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/37/NW-U61035_U61037_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kason_Silicone_Sealant_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Silicone_Sealant_MSDS_2015.pdf,,,
20,P403796,Goodflo G-Trap grease trap,Goodflo,452.96,"Safe and hygienic, this Goodflo G-Bag grease trap seals waste in the innovative G-Bag for reduced maintenance and mess, eliminating odour and keeping kitchen staff clean during replacement. Reducing the risk of cross contamination and health and safety risks, the grease trap requires no bailing or vacuum cleaning and waste is never exposed to the kitchen environment, making management of fats, oils and grease discharged in wastewater simple, clean and risk-free.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Goodflo G-Trap grease trap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/96/NW-403796_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Goodflo_G_Bag_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Goodflo_G_Bag_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Goodflo_G_Bag_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Goodflo_G_Bag_Replacement_Checklist.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Goodflo_G_Bag_Technical.pdf
21,PU61037,"Oxford Hardware KS90 63700000004 food safe silicone sealant 310ml - black , temp to 250 deg c (1)",Oxford Hardware,7.69,"Fully certified for use in food service settings, this Oxford Hardware KS90 black silicone sealant is a premium grade silicone-based adhesive. Supplied in a 304ml tube, this sealant forms a reliable waterproof seal, keeping moisture out - or in - wherever needed and holding fast right up to 250°C.","Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Oxford Hardware KS90 63700000004 food safe silicone sealant 310ml - black , temp to 250 deg c (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/37/NW-U61035_U61037_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kason_Silicone_Sealant_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Silicone_Sealant_MSDS_2015.pdf,,,
22,PV03096,Mechline Grease Pak replacement battery pack for dosing module,Mechline,32.23,This Mechline Grease Pak 6V alkaline battery for dosing module use has an approximate service life of 18 - 24 months.,Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Mechline Grease Pak replacement battery pack for dosing module,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/96/NW-V03096_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mechline_GP-BP_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mechline_GP-BP_Technical.pdf,,,
23,PU00185,Fri-Jado TDR8 heat lamp (TDR8),Fri-Jado,55.47,"This Fri-Jado 208/240V 500W infrared halogen lamp is suitable for use with TDR-AC, TDR5-M, TDR5-P, TDR7-M and TDR7-P rotisserie ovens.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Fri-Jado TDR8 heat lamp (TDR8),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/85/NW-U00185_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Fri_Jado_TDR_TDW_Service_Manual.pdf,,,,
24,PV10439,Lincat tap,Lincat,65.0,"A Lincat SL29 tap for EB3F, EB4F, EB6F and EB6TF.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Lincat tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/39/NW-V10439_wm.jpg,N,x  x,"EB3F,EB6,EB6T,EB4F",HA120,Tap,N,,,,,,,
25,PV57587,Lincat solenoid,Lincat,34.69,"A Lincat 68.5m, 230V solenoid valve for automatic water boilers.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Lincat solenoid,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/87/NW-V57587_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Lincat_Spare_Parts_Catalogue.pdf,,,,
26,PU90799,BKI rocker switch black,BKI,3.0,This BKI DP black rocker switch is suitable for the HSS4 hot food merchandiser and VG16 rotisserie oven.,Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> BKI rocker switch black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/99/NW-U90799_wm.jpg,N,x  x,"HSS4,VG16",SW040,Switch,N,,,,,,,
