,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Connection Size,Connection Type,Range,Thickness,Refrigerant Suitability,Hazardous,Material,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Diameter,Pack Quantity,Size,Connection Type 1,Feature 3,Feature 4,Gender,Connection Type 2,Attachment 2,Attachment 3,Feature 5,Feature 6,Dimensions (L x W x D),Refrigerant,Max Pressure,Sight Glass,Number of Valves,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12
19,P671151,"Parker 2GF4 flared copper gasket 1/4""",Parker,1.06,"This Parker refrigeration grade 1/4"" flared gasket is made of copper.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Parker 2GF4 flared copper gasket 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/51/NW-671151_wm.jpg,,,,,,,,N,Copper,B2-4,Gasket,N,,Pack of 10,De-greased copper,1/4,,14,N/A,Specifically designed for ACR,Can be used in assemblies subject to pressure equipment directive,,,,,Safety factor of at least 3 applied as recommended maximum working pressure,Manufactured to ASME B1622 - 2001 standards,,,,,,,,,,,
20,P688802,Javac Digital Vacuum Guage VG-64 electronic vacuum guage,Javac,337.63,"Offering a high-res display and quick responses, the user-friendly dual port Javac VG64 electronic digital vacuum gauge with magnetic HVAC strap accurately reads vacuum from 12,000 microns right down to 0 across a broad temperature range. Suitable for field or laboratory use, VG64 supplied measurements in units including Microns (millitorrs), PSI, millibars, inches of Hg and Pascal.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Digital Vacuum Guage VG-64 electronic vacuum guage,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/02/NW-688802_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Javac_VG-64_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,
21,P671007,Refcomm LGL B1-8 adaptor fibre washer cylinder,Refcomm,1.33,"This Refcom LGL fibre washer can be used with a 1/4 x 5/8"" adapter.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL B1-8 adaptor fibre washer cylinder,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/07/NW-671007_wm.jpg,,,,,LGL,,,N,Brass,BG7090W,Washers,N,,Made of Brass,"Sizes in 1/4 x 5/8""",1/4 x 5/8,,14,N/A,,,,,,,,,,,,,,,,,,,
22,P671051,"Refcomm LGL NS4-8 short flared nut 1/2""",Refcomm,5.3,"This Refcom LGL 1/2"" short flare nut is made of brass","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL NS4-8 short flared nut 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/54/NW-671050_671054_wm.jpg,,,,,LGL,,,N,Brass,NS4-8,Short Flared Nut,N,,Made of Brass,"Sizes in 1/2""",1/2,,12,Flare,,,,,,,,,,,,,,,,,,,
23,P671153,"Refcomm B2-6 flared copper gasket 3/8"" (Pack of 10)",Refcomm,1.46,"This Parker refrigeration grade 3/8"" flared gasket is made of copper.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm B2-6 flared copper gasket 3/8"" (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/55/NW-671153_671155_wm.jpg,,,,,,,,N,Copper,B2-6,Gasket,N,,Pack of 10,De-greased copper,3/8,pack of 10,3/8,N/A,Specifically designed for ACR,Can be used in assemblies subject to pressure equipment directive,,,,,Safety factor of at least 3 applied as recommended maximum working pressure,Manufactured to ASME B1622 - 2001 standards,,,,,,,,,,,
24,P671059,"Refcomm LGL NRS4-86 flared reducing nut short 1/2 x 3/8""",Refcomm,9.27,"This Refcom LGL 1/2 x 3/8"" short reducing flare nut is made of brass","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL NRS4-86 flared reducing nut short 1/2 x 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/59/NW-671059_wm.jpg,,,,,LGL,,,N,Brass,NRS4-86,Flared Reducing Nut,N,,Made of Brass,"Size in 1/2 x 3/8""",1/2 x 3/8,,1/2 x 3/8,Flare,,,,,,,,,,,,,,,,,,,
25,P689647,Javac low side automatic coupler (R134A),Javac,32.36,"This Javac low pressure automotive coupler with 1/4"" SAE hose connection is compatible with R134A refrigerant.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac low side automatic coupler (R134A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/47/NW-689647_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P601207,Javac oxy-acetylene hoses 5mtr,Javac,63.34,A Javac 5M twin oxygen and acetylene hose pack with non-return valve.,Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac oxy-acetylene hoses 5mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/07/NW-601207_wm.jpg,,,,,,,,N,,849060,Oxy-Acetylene Hose,N,,Complies with BS EN 559 and BS EN 1256,,,,,,,,,,,,,,5000 mm (L),,,,,,,,,,
27,P671231,"Parker 640F 640F-6 flanged cap nut 3/8"" (Pack of 5)",Parker,5.96,"Made of brass, this Parker 640F 3/8"" cap nut is for use with the 2GF flare gasket. Suitable for use in refrigerant lines, propane lines, fuels, natural gas, oil burners and adapters, this flare fitting is an economical choice for a metal-to-metal seal in high pressure service. 2GF fittings are resistant to mechanical pull out and their positive connections ensures reliability and safety. Available in forgings for refrigeration use, flare fittings are an alternative to solder joints where an open flame shouldn't be used.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Parker 640F 640F-6 flanged cap nut 3/8"" (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/33/NW-671230_671233_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P671155,"Refcomm B2-10 flared copper gasket 5/8"" (Pack of 10)",Refcomm,2.32,"This Parker refrigeration grade 5/8"" flared gasket is made of copper.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm B2-10 flared copper gasket 5/8"" (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/55/NW-671153_671155_wm.jpg,,,,,,,,N,Copper,B2-10,Gasket,N,,Pack of 10,De-greased copper,5/8,pack of 10,5/8,N/A,Specifically designed for ACR,Can be used in assemblies subject to pressure equipment directive,,,,,Safety factor of at least 3 applied as recommended maximum working pressure,Manufactured to ASME B1622 - 2001 standards,,,,,,,,,,,
29,P671237,"Parker 639F 639F-4 flanged sealing plug 1/4""",Parker,3.64,"Made of brass, this Parker 639F 1/4"" seal plug  is suitable for use in refrigeration, heavy-duty truck, mobile, industrial, heating and air conditioning applications. This 45° flare fitting is an economical choice for a metal-to-metal seal in high pressure service, is resistant to mechanical pull out and offers positive connections to ensure reliability and safety. Flare fittings are a suitable alternative to solder joints where an open flame shouldn't be used.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Parker 639F 639F-4 flanged sealing plug 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/37/NW-671237_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
