,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Hazardous,Approvals,Gender,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Range,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Connection Size,Diameter,Length (M),Outer Diameter,Type
12,PR12801,Riifo 16x2.0mm blue PEX/AL/PEX 100m coil,Riifo,8.19,"Supplied in a 100M coil, this Riifo B1 16mm diameter, 2mm thickness PEX/AL/PEX pipe reduces joints, meaning less labour and fewer fittings, helping to minimise installation time and cost. This pre-insulated pipe is compatible with Riifo F5 press-fit fittings.","Pipe, Valves and Fittings/Plastic Pipe/PEX Pipe/PEX Pipe.csv -> Riifo 16x2.0mm blue PEX/AL/PEX 100m coil",,100m Coil,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/07/R12800_R12807_wm.jpg,,,,Blue,N,WRAS,N/A,PEX/AL/PEX,16 mm,2.0,N/A,n/a,1100058800,N,PEX/AL/PEX construction,Pre-insulated with 13mm Euroclass B insulation,Blue colour-coated finish,WRAS approved,,,,,,,,,,,,,,,,,
13,P581338,JG Speedfit barrier pipe 15mm x 6mtr Blue,JG Speedfit,11.66,"Supplied in a 6M length, this JG Speedfit 15mm blue PE-X pipe is an ideal choice for short runs where a harder pipe material is desirable. Incorporating five layers, this pipe has a central blue-coloured oxygen barrier, preventing air ingress and reducing the effect of corrosion on the system's metal components. Thanks to its low thermal conductivity, Speedfit stays cool to the touch when carrying hot water for reliable safety.","Pipe, Valves and Fittings/Plastic Pipe/PEX Pipe/PEX Pipe.csv -> JG Speedfit barrier pipe 15mm x 6mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/38/NW-581338_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PP97287,Uponor Q&E Shrink-fit PEX pipe 16mm x 3mtr (Priced per metre),Uponor,2.43,"Diffusion-resistant, this Uponor 16mm PE-X pipe is suitable for general plumbing and radiator connections. Meeting ISO 15875 for hot and cold water and heating applications, this 1.8mm thick pipe is supplied in an 85M length.","Pipe, Valves and Fittings/Plastic Pipe/PEX Pipe/PEX Pipe.csv -> Uponor Q&E Shrink-fit PEX pipe 16mm x 3mtr (Priced per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/89/NW-P97287_P97289_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Uponor_PEX_Q&E_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P517503,JG Speedfit barrier pipe coil 15mm x 50mtr,JG Speedfit,97.18,"This JG Speedfit 15mm barrier pipe incorporates five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, ensuring excellent levels of corrosion resistance. Supplied in a 50M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PEX Pipe/PEX Pipe.csv -> JG Speedfit barrier pipe coil 15mm x 50mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/06/NW-517499_517506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P517516,JG Speedfit barrier pipe length 28mm x 3mtr,JG Speedfit,15.7,"JG Speedfit 28mm barrier pipe is ideal for use in those short runs where a harder pipe material provides an advantage. Incorporating five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, this pipe offers excellent levels of corrosion resistance. Supplied in a 3M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PEX Pipe/PEX Pipe.csv -> JG Speedfit barrier pipe length 28mm x 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/17/NW-517514_517517_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PP89874,Uponor combi PEX pipe 32 x 2.9mm 5mtr White Bar,Uponor,9.49,"Diffusion-resistant, this Uponor 32mm PE-X pipe is suitable for general plumbing and radiator connections. Meeting ISO 15875 for hot and cold water and heating applications, this 2.9mm thick pipe is supplied in a 5M length.","Pipe, Valves and Fittings/Plastic Pipe/PEX Pipe/PEX Pipe.csv -> Uponor combi PEX pipe 32 x 2.9mm 5mtr White Bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/74/NW-P89874_wm.jpg,,,,White,N,WRAS,,Cross-Linked Polyethylene (PE-X),32 mm,29,,,1083815,N,Diffusion-resistant,Five-layer construction,Manufactured to ISO 15875 for hot and cold water and heating applications,WRAS approved,,,,,,,,,,,,,32,5 x 5.5mtr,5,32,Pex Pipe
18,PP59006,Uponor Q&E Shrink-fit PEX pipe (50mtr coil) 20mm White (Priced per metre),Uponor,4.27,"Diffusion-resistant, this Uponor 20mm PE-X pipe is suitable for general plumbing and radiator connections. Meeting ISO 15875 for hot and cold water and heating applications, this 1.9mm thick pipe is supplied in a 50M length.","Pipe, Valves and Fittings/Plastic Pipe/PEX Pipe/PEX Pipe.csv -> Uponor Q&E Shrink-fit PEX pipe (50mtr coil) 20mm White (Priced per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/07/NW-P59006_P59007_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Uponor_PEX_Q&E_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PP97288,Uponor Q&E Shrink-fit PEX pipe 20mm x 3mtr (Priced per metre),Uponor,4.61,"Diffusion-resistant, this Uponor 20mm PE-X pipe is suitable for general plumbing and radiator connections. Meeting ISO 15875 for hot and cold water and heating applications, this 1.9mm thick pipe is supplied in a 48M length.","Pipe, Valves and Fittings/Plastic Pipe/PEX Pipe/PEX Pipe.csv -> Uponor Q&E Shrink-fit PEX pipe 20mm x 3mtr (Priced per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/89/NW-P97287_P97289_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Uponor_PEX_Q&E_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P517505,JG Speedfit barrier pipe coil 22mm x 25mtr,JG Speedfit,95.32,"This JG Speedfit 22mm barrier pipe incorporates five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, ensuring excellent levels of corrosion resistance. Supplied in a 25M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PEX Pipe/PEX Pipe.csv -> JG Speedfit barrier pipe coil 22mm x 25mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/06/NW-517499_517506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P517515,JG Speedfit barrier pipe length 22mm x 6mtr,JG Speedfit,22.89,"JG Speedfit 22mm barrier pipe is ideal for use in those short runs where a harder pipe material provides an advantage. Incorporating five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, this pipe offers excellent levels of corrosion resistance. Supplied in a 6M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PEX Pipe/PEX Pipe.csv -> JG Speedfit barrier pipe length 22mm x 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/17/NW-517514_517517_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P517501,JG Speedfit barrier pipe coil 10mm x 100mr,JG Speedfit,157.65,"Made up of five layers, this JG Speedfit 10mm barrier pipe has a central blue-coloured oxygen barrier, keeping air from entering the system, ensuring improved corrosion resistance. Supplied in a 100M length, JG Speedfit PE-X pipe is designed for low thermal conductivity meaning it won't become hot to the touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PEX Pipe/PEX Pipe.csv -> JG Speedfit barrier pipe coil 10mm x 100mr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/06/NW-517499_517506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
