,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Style,Warranty,Hazardous,Depth (mm),Door Opening Orientation,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Range,Demisting,Shape,Feature 8,Attachment 4,Attachment 5,Dimensions (L x W x D),Feature 9,Feature 10,Feature 11,Feature 12
10,PC22589,* NAB CLASSIC 500MM MINERALCAST MOD BSN,Nabis,112.43,"Designed for timeless appeal and ideal in period bathrooms, this Nabis Classic 510mm mineralcast basin is finished in an elegant Ivory tone.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> * NAB CLASSIC 500MM MINERALCAST MOD BSN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/90/NW-C22589_C22590_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/C22589_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PC23973,Nabis laminate worktop 1000 x 230 x 22mm White Gloss,Nabis,61.9,Nabis laminate worktop is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis laminate worktop 1000 x 230 x 22mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/73/NW-C23973_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_LaminateWorktops_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Laminate_Worktop_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PC22665,Nabis Deco left hand tall storage unit Natural Oak,Nabis,199.45,"Nabis Deco left hand wall hung double door tall storage unit is made of 16mm MFC, 0.8mm ABS laminate and available in natural oak colour. This stylish range of tall storage unit is designed to complement the beautiful Deco range of bathroom furniture.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Deco left hand tall storage unit Natural Oak,,Tall storage unit;2x cab hanger wall kit;Fitting instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/65/NW-C22665_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22663-C22670_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_TalStorageCabinet_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PC22627,Nabis Deco left hand freestanding cloakroom washbasin unit only White Gloss,Nabis,155.06,"Nabis Deco left hand floor standing cloakroom washbasin unit is made of 16mm MFC, 0.8mm ABS laminate, brushed aluminium door handle and available in white gloss finish. This stylish range of bathroom furniture designed to complement the beautiful Deco range of bathroom basins.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Deco left hand freestanding cloakroom washbasin unit only White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/27/NW-C22627_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_FSWashBasinUnit_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22627-C22634_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PC31007,Nabis Sense WC unit 555mm White Gloss,Nabis,186.31,Nabis Sense 500mm full height WC unit is available in white gloss finish. It is suitable for use with all back to wall toilets.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Sense WC unit 555mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/07/NW-C31007_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PC24008,Nabis laminate worktop 2000 x 230 x 22mm White Gloss,Nabis,140.65,Nabis laminate worktop is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis laminate worktop 2000 x 230 x 22mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/08/NW-C24008_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_LaminateWorktops_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Laminate_Worktop_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PC24232,Nabis White Gloss base cladding panel 220 x 835mm,Nabis,45.01,Nabis base cladding panel is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis White Gloss base cladding panel 220 x 835mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/32/NW-C24232_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_BaseCladdingPanel_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Nabis_W_Base_Cladding_&_Plinths_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PC24022,Nabis laminate worktop 3000 x 310 x 22mm,Nabis,153.16,Nabis laminate worktop is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis laminate worktop 3000 x 310 x 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/22/NW-C24022_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_LaminateWorktops_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Laminate_Worktop_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PC31010,Nabis Sense vanity basin 600mm,Nabis,52.88,This ceramic Nabis Sense 600mm single hole vanity basin has a smartly modern design and is designed for countertop mounting.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Sense vanity basin 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/10/C31010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/C31010_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PC24125,Nabis Vision fascia pack for washbasin unit 600mm White Gloss,Nabis,77.51,"Suitable for use with washbasin units, this Nabis Vision fascia pack is finished in white gloss. This door and front panel pack is easy to install and made of high quality FSC certified wood.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Vision fascia pack for washbasin unit 600mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/25/NW-C24125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Washbasin_Unit_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PC31009,Nabis Sense vanity basin 500mm,Nabis,43.49,This ceramic Nabis Sense 500mm single hole vanity basin has a smartly modern design and is designed for countertop mounting.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Sense vanity basin 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/09/C31009_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/C31009_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT86956,Roca Wall-hung Fineceramic® basin,Roca,118.48,"The Roca Ona Unik 450mm basin is constructed in robust, sleek Fineceramic finished in classic, high shine white. This simple hand wash basin is designed to be wall-mounted.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Roca Wall-hung Fineceramic® basin,,The Product and Fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/56/T86956_wm.jpg,,,,White,WALL HUNG,25,N,360,N/A,VC,A327682000,Wall Hung,N,Fineceramic construction,White colour,For wall hung installation,25 year warranty,,,,,,,,,,,,,,
22,PC24087,Nabis Grace doors for 600mm double wall unit 656 x 296mm Charcoal Grey Gloss,Nabis,179.2,Nabis Grace door pack is available in charcoal grey gloss finish and suitable for use with 600mm double wall units. The Nabis furniture range is designed with versatility. This range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Grace doors for 600mm double wall unit 656 x 296mm Charcoal Grey Gloss,,2x doors,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/87/NW-C24087_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Double_Wall_Unit_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PC24101,Nabis Vision fascia pack for drawer line unit 300mm White Gloss,Nabis,65.65,"Suitable for use with 300mm drawer line bathroom units, this white gloss finish Nabis Vision door pack is easy to install and made of high quality FSC certified wood.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Vision fascia pack for drawer line unit 300mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/01/NW-C24101_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Drawer_Line_Unit_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PC23987,Nabis laminate worktop 1500 x 230 x 22mm White Gloss,Nabis,88.15,Nabis laminate worktop is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis laminate worktop 1500 x 230 x 22mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/87/NW-C23987_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_LaminateWorktops_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Laminate_Worktop_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PC24206,Nabis open mirror unit 700mm Charcoal Grey Gloss,Nabis,204.8,Nabis open mirror unit is available in charcoal grey gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis open mirror unit 700mm Charcoal Grey Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/06/NW-C24206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Open_Mirror_Unit_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PC22683,* NAB DEC 1700MM BATH SIDE PANEL WH GL,Nabis,122.94,"Finished in white gloss, this stylish Nabis Deco 500 x 1700mm bath side panel is designed to complement the wider Deco range of bathroom furniture.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> * NAB DEC 1700MM BATH SIDE PANEL WH GL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/83/NW-C22683_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_DecoBathEndSidePanel_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22683-C22690_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PC24239,Nabis White Gloss base cladding panel 300 x 835mm,Nabis,45.01,Nabis base cladding panel is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis White Gloss base cladding panel 300 x 835mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/39/NW-C24239_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_BaseCladdingPanel_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Nabis_W_Base_Cladding_&_Plinths_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PC22675,* NAB DEC 600MM MIRROR CABINET WH GL,Nabis,376.2,"As practical as it is stylish, this white gloss finish Nabis Deco 660 x 600mm bathroom mirror cabinet unit provides useful storage alongside a single socket for your shaver or toothbrush and an overhead light. Elegantly designed, this mirrored cabinet is designed to blend seamlessly with the rest of the Deco range.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> * NAB DEC 600MM MIRROR CABINET WH GL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/75/NW-C22675_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22671-C22682_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22671-C22682_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
