,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Range,Hazardous,Core Size,Core Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Dimensions (L x W x D),Feature 2,Model For Use With,Power Supply,Feature 3,Warranty,Phase
10,P693968,"Danfoss DCL DCL032 filter drier flared connection 1/4""",Danfoss,13.3,"This Danfoss Eliminator DCL032 3 cu.inch hermetic filter drier with 1/4"" flare inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss DCL DCL032 filter drier flared connection 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/68/NW-693968_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,,,,,,
11,P693974,"Danfoss DCL DCL084 filter drier flared connection 1/2""",Danfoss,18.5,"This Danfoss Eliminator DCL084 8 cu.inch hermetic filter drier with 1/2"" flare inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss DCL DCL084 filter drier flared connection 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/74/NW-693974_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,,,,,,
12,P693961,"Danfoss DCL DCL053S filter drier solder connection 3/8""",Danfoss,16.8,"This Danfoss Eliminator DCL053S 5 cu.inch hermetic filter drier with 3/8"" solder inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss DCL DCL053S filter drier solder connection 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/61/NW-693961_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,,,,,,
13,P677741,Kelvion defrost heater,Kelvion,119.84,"A Kelvion Searle 230V, 2850W defrost heater for DSR68, DSR83, DSR100 and DSR116.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Kelvion defrost heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/41/NW-677741_wm.jpg,,,,N,,,100461682,Defrost Heater,N,Heat exchanger spare part,,,,,,,,DSR68DSR83DSR100DSR116,"230 V, 2850 W",,,
14,P677798,Kelvion JG1-8 drain connection gasket,Kelvion,2.2,A Kelvion Searle JG1-8 drain gasket.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Kelvion JG1-8 drain connection gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/98/NW-677798_wm.jpg,,,,N,,,100465378,Gasket,N,Heat exchanger spare part,,,,,,13mm,,,,,,
15,P693857,"Danfoss GBC28S solder ball valve 1.1/8""",Danfoss,52.22,"GBC ball valves are manually operated shut-off valves suitable for applications where bi-directional flow is a requirement; GBC valves are approved for applications in liquid, suction, and hot gas lines in refrigeration and air conditioning systems; GBC valves offer maximum tightness across the seat and seal, with minimum pressure drop; GBC valves give maximum flow in the fully open position;They are designed for operation within a broad temperature range and are approved for use with any fluorinated refrigerant;Standard GBC valves may be used in applications using high pressure refrigerants, including R410A, and GBC bi-directional ball valves can be delivered with or without external access port; For CO2 applications a dedicated range is available with a max;working pressure of 90 bar (1300 psig); GBC valves are equipped with a one-piece seal cap to prevent tampering;Complies with European Safety Directive EN 378 (Safety and environmental requirements).","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss GBC28S solder ball valve 1.1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/51/693851_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Technical.pdf,,,,,,,,,,
16,P693429,Danfoss SGP SGP12N sight glass male 24 x 3mm,Danfoss,37.5,"Made of brass, this Danfoss SGP12N sight glass with 1/2"" flare connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss SGP SGP12N sight glass male 24 x 3mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/29/NW-693429_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf,,,,,,,,,
17,P693423,Danfoss SGP SGP6N sight glass male 25 x 4mm,Danfoss,29.1,"Made of brass, this Danfoss SGP6N sight glass with 1/4"" flare connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss SGP SGP6N sight glass male 25 x 4mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/26/NW-693423_693426_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf,,,,,,,,,
18,P693432,Danfoss SGP SGP10SN sight glass male 25 x 4mm,Danfoss,34.8,"Made of brass, this Danfoss SGP10SN sight glass with 3/8"" solder connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss SGP SGP10SN sight glass male 25 x 4mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/32/NW-693432_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf,,,,,,,,,
19,P693854,"Danfoss GBC16S solder ball valve 5/8""",Danfoss,37.67,"GBC ball valves are manually operated shut-off valves suitable for applications where bi-directional flow is a requirement; GBC valves are approved for applications in liquid, suction, and hot gas lines in refrigeration and air conditioning systems; GBC valves offer maximum tightness across the seat and seal, with minimum pressure drop; GBC valves give maximum flow in the fully open position;They are designed for operation within a broad temperature range and are approved for use with any fluorinated refrigerant;Standard GBC valves may be used in applications using high pressure refrigerants, including R410A, and GBC bi-directional ball valves can be delivered with or without external access port; For CO2 applications a dedicated range is available with a max;working pressure of 90 bar (1300 psig); GBC valves are equipped with a one-piece seal cap to prevent tampering;Complies with European Safety Directive EN 378 (Safety and environmental requirements).","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss GBC16S solder ball valve 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/51/693851_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Technical.pdf,,,,,,,,,,
