,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Hazardous,Dimensions mm (H x W x D),Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Range,Range For Use With,Connection,Exhaust Port Size,Thread Standard,Max Set Pressure,Material,Thread Size,Model For Use With,Boiler Section,Boiler Range,Weight,Maximum Operating Temperature,Gender,Size,Connection Type 1
10,P114953,Ideal Spares horizontal wall flue kit 80/125,Ideal,147.0,"A genuine Ideal part, this concentric horizontal wall flue kit is used for installing the flue section of Evomax boilers. The flue is designed to expel steam and gases produced during a boiler's normal operation.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares horizontal wall flue kit 80/125,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/53/114953_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Ideal_Evomax-2_Installation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/49/55/114950_114955.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P729220,Ideal AQUASTAT aquathermostat PCB,Ideal,148.96,"This Ideal Aquastat PCB offers wide compatibility throughout Ideal's commercial boiler range. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal AQUASTAT aquathermostat PCB,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/20/NW-729220_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Concord-CXS40-120H_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P107176,Ideal Spares extension kit 80/125 x 1000mm,Ideal,47.0,This Ideal brand 80/125mm diameter 1M concentric flue extension allows for the installation of a boiler in the most convenient location. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares extension kit 80/125 x 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/76/107176_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Evomax-Guide_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/71/76/107176.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P114950,Ideal Spares vertical roof flue kit 80/125,Ideal,134.0,"A genuine Ideal part, this concentric vertical roof flue kit is used for installing the flue section of Evomax boilers. The flue is designed to expel steam and gases produced during a boiler's normal operation.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares vertical roof flue kit 80/125,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/50/114950_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Ideal_Evomax-2_Installation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/49/55/114950_114955.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P105167,Ideal Spares loss header kit DN50,Ideal,393.0,"Allowing for flow separation in a hydronic system, the Ideal Evomax low loss header is designed for installations with restricted headroom. The header is pre-insulated and supplied with connections.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares loss header kit DN50,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/67/105167_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax_Product_Flue_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/51/69/105167_105169.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Frame_Header_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Frame_HeaderKit_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
15,P123183,Ideal Logic 24hr mechanical timer kit,Ideal,54.41,"The Ideal logic mechanical timer kit, 24 Hour is a simple plug-in option. Continuous timed or off modes can be set using the tappets, which provide a 15 minute period of operation. An integral clock provides the time of day.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Logic 24hr mechanical timer kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/83/123183_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/es/Ideal_Domestic_Boiler_Accessories.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/31/83/123183.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Mechanical_Timer_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P725218,Ideal ignition control PCB,Ideal,187.65,"This Ideal ignition control PCB is suitable for use in CXA and CXAP boilers. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal ignition control PCB,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/18/NW-725218_wm.jpg,,,,,,N,18L X 12.8W X 6.4H,E73452,"CXA 90,CXAP 100,CXA 50,CXA 70,CXAP 60/H,CXA 50/H,CXAP 60,CXA 110,CXAP 40/H,CXAP 40,CXA 70/H,CXA 120/H,CXA 100/H,CXA 90/H,CXA 60,CXA 80,CXAP 90/H,CXAP 100/H,CXA 40/H,CXAP 70,CXA 100,CXAP 50,CXA 120,CXAP 50/H,CXAP 90,CXA 40,CXAP,CXA 60/H,CXA 80/H,CXA 110/H",154813,Ignition Control PCB,N,Commercial,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,,,,,
17,P123186,Ideal Spares radio frequency electronic programmable room thermostat kit,Ideal,200.56,This Ideal wireless RF digital timer and room thermostat provides complete heating control over radio frequencies.,Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares radio frequency electronic programmable room thermostat kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/86/123186_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/es/Ideal_Domestic_Boiler_Accessories.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/31/86/123186.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P114967,Ideal Spares open flue kit 80,Ideal,40.0,"Suitable for both roof and wall mounting, the Ideal open flue kit and related accessories, including this air inlet grille, provide additional options for the installation of Evomax 2 boilers. The flue is designed to expel steam and gases produced during a boiler's normal operation.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares open flue kit 80,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/67/114967_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Ideal_Evomax-2_Installation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/49/68/114967_114968.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P107175,Ideal Spares 45deg elbow kit 80/125mm,Ideal,38.0,An Ideal brand 80/125mm diameter 45° concentric elbow for flexible flue installation. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares 45deg elbow kit 80/125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/75/107175_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Evomax-Guide_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/71/75/107175.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Ideal_Evomax-2_Installation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P439269,Ideal Spares overheat thermostat,Ideal,180.08,"An Ideal overheat thermostat for CX and CX2 boilers. This thermostat uses built-in sensors to monitor a boiler's temperature, ceasing operation if the maximum selected temperature is reached.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares overheat thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/69/NW-439269_wm.jpg,,,,,,N,26.8L X 16.8W X 6.2H,790046,"CX2 205,CX2 240,CX2 140,CX2 170P,CX2 340,CX 275,CX2 140P,CX 80,CX 310,CX2 275P,CX 60,CX 40,CX2 310P,CX 170,CX2 205P,CX2 340P,CX 205,CX2 310,CX2 275,CX 340,CX 90,CX 100,CX2 240P,CX 70,CX2 170,CX 50,CX 140,CX 240",156017,Overheat thermostat,N,Commercial,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",Spares,,,,,,,,,,,,,,,
21,P412799,Ideal primary PCB,Ideal,299.13,"This Ideal Primary PCB is a genuine spare for Ideal 30 - 150 and 30 - 80 LPG boilers. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal primary PCB,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/99/NW-412799_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P465400,Ideal Spares automatic air vent,Ideal,23.9,"This Ideal automatic air vent is compatible with a wide range of Keston and Ideal commercial boilers. A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares automatic air vent,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/00/NW-465400_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Imax_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P107174,Ideal Spares 90deg elbow kit 80/125mm,Ideal,45.0,An Ideal brand 80/125mm diameter 90° concentric elbow for flexible flue installation. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares 90deg elbow kit 80/125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/74/107174_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Evomax-Guide_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/71/74/107174.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Ideal_Evomax-2_Installation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P406817,Ideal Spares water pressure switch,Ideal,50.27,"A genuine Ideal replacement part, this water pressure switch is suitable for use in selected Keston and Ideal boilers. This part is a vital safety check, ensuring water pressure is maintained during use and communicating to the appliance's PCB instances of over-pressure.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares water pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/17/NW-406817_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Imax_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
