,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Connection Size,Connection Type,Diameter,Range,Warranty,Hazardous,Dimensions (L x W x D),Drainage Product Type,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Colour,Weight,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Standards,Application,Feature 5,Feature 6,Feature 7
10,PQ62787,Wavin Osma SquareLine pipe bracket spacer Black,Wavin,6.82,"Ideal for domestic use, this Wavin Osma SquareLine 70mm pipe bracket spacer is made of black PVC-U and offers a neat, modern rectilinear profile. This spacer is for use with the 4T834 pipe bracket, 4T823 pipe connector/bracket, 4T832 pipe shoe/bracket, 4T858 offset pipe with access and 4T855 access pipe.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Wavin Osma SquareLine pipe bracket spacer Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/87/NW-Q62787_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PF22206,Marley Flowline union bracket Black,Marley,6.69,This Marley Flowline union bracket in black is part of the attractively designed rectilinear profile PVC-U Flowline gutter system. This system offers carrying capacities higher than standard half round gutters and is an ideal choice for larger roof areas with the option to use a notched or notchless joint.,Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Marley Flowline union bracket Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/06/NW-F22206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_Rainwater_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Rainwater_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PF67224,Polypipe rainwater downpipe bracket 68mm White,Polypipe,5.61,"Made of white PVC-U, this Polypipe bracket with 68mm connections is suitable for use in domestic applications. Polypipe's Rainwater systems range offers versatile, well-designed fittings for both residential and light commercial applications.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Polypipe rainwater downpipe bracket 68mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/24/NW-F67224_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PW54048,Alutec Flushfit 102mm pipe clip,Alutec,10.1,"Maintenance-free, the Marley Alutec Flushfit 102mm pipe clip in black is manufactured in highly robust marine-grade aluminium. This corrosion-resistant rainwater fitting is designed to help reduce the need for replacement and repair for a longer lifetime of use.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Alutec Flushfit 102mm pipe clip,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/48/W54048_wm.jpg,,,,,102mm,2-screw,102mm,,50 years functional life expectancy and 25 years for paint finish,N,,Rainwater Fitting,Aluminium,XRE480,,N,Aluminium construction,Black finish,2x screw connection,Corrosion resistant,Black,0.1Kg,N/A,Corrosion Resistant,N/A,n/a,Yes,Drainage design standard BS EN 12056-3:2000,Rainwater,Functional life expectancy of 50 years or more,,
14,PQ64838,Wavin Osma RoundLine universal PVC connector 110mm Black,Wavin,15.87,"Ideal for domestic use, this Wavin Osma RoundLine 68mm pipe to 110mm PP drain rainwater adapter is made of black PVC-U with a classic half-round profile.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Wavin Osma RoundLine universal PVC connector 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/38/NW-Q64838_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PF67264,Polypipe pipe bracket 68mm Black,Polypipe,7.62,"Made of black PVC-U, this Polypipe pipe bracket with 68mm connections is suitable for use in domestic applications. Polypipe's Rainwater systems range offers versatile, well-designed fittings for both residential and light commercial applications.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Polypipe pipe bracket 68mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/64/NW-F67264_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PF22309,MLY 68MM LOOSE PIPE SOCKET  RL25:B,Marley,6.61,"Designed to create a self-cleansing flow, this black Marley Deepflow 68mm loose pipe socket with socket x plain end connections is part of the semi-elliptical Deepflow range. This range offers high capacity and the ability to install using your choice of a notched or notchless joint.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> MLY 68MM LOOSE PIPE SOCKET  RL25:B,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/09/NW-F22309_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_Rainwater_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Rainwater_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PQ64461,"Wavin Osma RoundLine pipe connector 2.1/2"" Black",Wavin,6.08,"Ideal for domestic use, this Wavin Osma RoundLine 68mm straight pipe connector with socket x insert connections is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Wavin Osma RoundLine pipe connector 2.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/61/NW-Q64461_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PQ64896,Wavin Osma SquareLine squareline stand off pipe bracket Black,Wavin,4.83,"Ideal for domestic use, this Wavin Osma SquareLine 61mm pipe bracket with stand-off is made of black PVC-U and offers a neat, modern rectilinear profile.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Wavin Osma SquareLine squareline stand off pipe bracket Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/96/NW-Q64896_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PF67204,Polypipe rainwater downpipe bracket 68mm Grey,Polypipe,5.61,"Made of grey PVC-U, this Polypipe bracket with 68mm connections is suitable for use in domestic applications. Polypipe's Rainwater systems range offers versatile, well-designed fittings for both residential and light commercial applications.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Polypipe rainwater downpipe bracket 68mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/04/NW-F67204_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PQ64490,"Wavin Osma RoundLine pipe bracket 2.1/2"" Grey",Wavin,4.97,"Ideal for domestic use, this Wavin Osma RoundLine 68mm pipe bracket is made of grey PVC-U with a classic half-round profile.","Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Wavin Osma RoundLine pipe bracket 2.1/2"" Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/90/NW-Q64490_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PF23354,MLY 68MMX67.5 OFFSET BND SKT/SP RNE255:G,Marley,6.65,"This grey Marley Deepflow 68mm 67.5° circular offset bend with socket x push-fit spigot connections is part of the Deepflow range with its semi-elliptical profile designed to produce a self-cleansing flow, creating a high capacity with the option to install using a notched or notchless joint.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> MLY 68MMX67.5 OFFSET BND SKT/SP RNE255:G,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/54/NW-F23354_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_Rainwater_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Rainwater_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PF24409,MLY 65MM SQ PIPE SOC PLAIN  RLE11:W,Marley,7.31,This Marley 65mm push-fit square plain pipe socket is aesthetically suited to the Flowline gutter system. It can also be fitted with the brand's Deepflow and Clipmaster systems using a square-to-round adapter.,Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> MLY 65MM SQ PIPE SOC PLAIN  RLE11:W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/09/F24409_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Rainwater_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PF39023,Marley flowline adaptor Black,Marley,17.18,This Marley Flowline 112mm adapter makes it possible to connect the rectilinear Flowline rainwater system to Marley's nominal half round Clipmaster gutter system for improved flexibility of design.,Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Marley flowline adaptor Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/23/F39023_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Rainwater_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PF22433,Marley shoe square 65mm Black,Marley,8.66,"This clean-edged, high gloss Marley 65mm push-fit shoe square is an ideal addition to the Flowline gutter system.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Marley shoe square 65mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rs/e1/RSE1_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_Rainwater_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Rainwater_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PF23315,Marley Deepflow RCZ253G 1 piece barrel pipe clip 68mm Grey,Marley,3.37,"This grey Marley Deepflow 68mm square one-piece barrel clip is part of the semi-elliptical Deepflow range. Designed to create a self-cleansing flow, this range offers high capacity and the ability to install using your choice of a notched or notchless joint.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Marley Deepflow RCZ253G 1 piece barrel pipe clip 68mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/z2/53/RCZ253_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_Rainwater_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Rainwater_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
