,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Physical State / Form,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 4,Pack Quantity,Feature 2,Feature 3,Weight,Handle Type,Material,Feature 4,Feature 5,Dimensions (L x W x D)
10,P581131,Fernox Powerflow large flux 350g,Fernox,15.29,"Easy to apply, this Fernox Powerflow soldering paste is a soft, white paste for application on joint areas before soldering jobs. Designed specifically for copper plumbing systems, Powerflow is suitable for use with a range of additional metals and alloys.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Fernox Powerflow large flux 350g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/31/NW-581131_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/581131_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fernox_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/581131_SDS.pdf,,,,,,,,,,,,,,,,,,
11,P610337,Oxyturbo Maxygas cylinder 610ml,Oxyturbo,18.41,This Oxyturbo Maxygas 610ml gas cylinder is suitable for use with TS1000.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Oxyturbo Maxygas cylinder 610ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/37/610337_wm.jpg,,,,Maxygas,N,Gas canister,610 ml,S050011,Gas Cylinder,N,For TS1000,,,,,,,,,,
12,P581017,Laco Regular regular flux jar with brush in cap 125g,Laco,7.0,"Offering superior detergent action to clean as it solders, this Laco regular flux paste has a pH value of 6.5 - 7 pH.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Laco Regular regular flux jar with brush in cap 125g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/17/NW-581017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Laco_Flux_Paste_MSDS.pdf,,,,,,,,,,,,,,,,,,,,
13,P688833,Rothenberger Maxigas 3.557 cartridge 600ml,Rothenberger,11.59,"Reaching flame temperatures up to 2200°C, this Rothenberger Maxigas 400 gas cartridge is ideal for brazing. Used with pure oxygen such as Rothenberger Roxy 40L, this cartridge can also be used for flame cutting thin-walled materials. Easy to use, when work is complete, the cartridge is simply separated from the soldering burner, and the valve securely sealed.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger Maxigas 3.557 cartridge 600ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/33/NW-688833_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Rothenberger_Maxigas_SDS.pdf,,,,,,,,,,,,,,,,,,,
14,PN20132,Rothenberger set of 3 flux brushes,Rothenberger,2.3,"These Rothenberger flux brushes are designed for the accurate application of flux or glue to fittings and threads. Saving on waste, these reusable brushes help keep your working area neat and clean.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger set of 3 flux brushes,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/32/NW-N20132_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,
15,P655800,Rothenberger Quick Fire brazing torch,Rothenberger,77.03,"Highly reliable, this Rothenberger Quick Fire torch has piezo ignition with a constant flame mode. Suitable for soft soldering with Rothenberger propane or with MAP/Pro if a hotter flame is required, the QuickFire is an ideal choice for plumbers and heating engineers.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger Quick Fire brazing torch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/00/NW-655800_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Rothenberger_SuperFire2_Torch_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Rothenberger_QuickFireSuperFireGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Refrgrtn_AC_Catalogue.pdf,,,,,,,,,,,,,,,,,,
16,P611071,Javac cylinder trolley oxy-acetylene 5/10ltr,Javac,233.82,This heavy duty Javac cylinder trolley is a useful support stand for oxy-act cylinders. It includes a removable handle for easy storage and transport.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Javac cylinder trolley oxy-acetylene 5/10ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/71/NW-611071_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_9431380_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,
17,PT64376,Rothenberger MAPP/Pro 3.5663 gas canister 399.7g,Rothenberger,31.01,"A hotter alternative to propane, this Rothenberger MAPP/Pro disposable gas cartridge provides a flame ideal for brazing and silver soldering pipework. Reducing working time, this gas offers a flame temperature of up to 2300°C, allowing for the processing of hotter working tasks with no need for an oxy-fuel or oxyacetylene two bottle set up, making it ideal for HVAC and refrigeration engineers. Compatible with the popular Rothenberger 1"" torch range, including SuperFire 2, QuickFire, Rofire Global, Trigger Torch and Swivel Pro Torch, this pure, high quality, contaminant-free MAP/Pro gas encourages a longer torch life.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger MAPP/Pro 3.5663 gas canister 399.7g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/76/NW-T64376_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Rothenberger_EA_Gas_Disposal_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rothenberger_GasVent_Key_Information.pdf,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Rothenberger_Propylene_SDS.pdf,,,,,,,,,
18,P688841,Rothenberger MAP/Pro 3.5664 propane cylinder 14oz/400g,Rothenberger,14.28,"Ideal for soft soldering and suitable for some brazing tasks, this Rothenberger MAP/Pro propane disposable gas cartridge is ideal for use in restricted space domestic jobs. Compatible with the popular Rothenberger 1"" torch range, including SuperFire 2, QuickFire, Rofire Global, Trigger Torch and Swivel Pro Torch, this pure, high quality, contaminant-free MAP/Pro gas encourages a longer torch life.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger MAP/Pro 3.5664 propane cylinder 14oz/400g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/41/NW-688841_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Rothenberger_Propane_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Rothenberger_EA_Gas_Disposal_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,
19,P688852,Rothenberger Rolot S2 S2 Brazing Rod brazing rod 1kg,Rothenberger,34.86,"The Rothenberger Rolot S2 silver/phosphorus safety hard solder/brazing rod is suitable for higher-stressed copper pipe systems. It is ideal for capillary soldering in sanitary, heating and gas installations.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger Rolot S2 S2 Brazing Rod brazing rod 1kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/52/NW-688852_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Rothenberger_Rolot_S2_SDS.pdf,,,,,,,,,,,,,,,,,,,
20,P628807,A-Gas ACE0005 Steel Acetylene Cylinder 5ltr,A Gas,77.45,"This A-Gas 5L steel acetylene cylinder, for use with oxygen, is ideal for brazing copper pipes together in refrigeration and air conditioning systems and brazing together different metals such as steel and copper.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> A-Gas ACE0005 Steel Acetylene Cylinder 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/08/NW-628807_628808_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_Acetylene_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Acetylene_H&S.pdf,,,,,,,,,,,,,,,,,,,
21,P655844,Rothenberger Super Fire 2 torch set comes with map gas,Rothenberger,83.1,"Offering fine flame control, this Rothenberger Super Fire 2 solder set is supplied with MAP gas.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger Super Fire 2 torch set comes with map gas,,2x torches;Disposable MAP ;propane gas cylinder,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/44/NW-655844_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Rothenberger_Propylene_SDS.pdf,,,,,,,,,,,,,,,,,,,
22,P628805,A-Gas GU10 Steel Steel Oxygen Cylinder 5ltr,A Gas,23.18,This A-Gas GU10 steel oxygen cylinder with acetylene is ideal for brazing copper pipes together in refrigeration and air conditioning systems and brazing together different metals such as steel and copper.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> A-Gas GU10 Steel Steel Oxygen Cylinder 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/06/NW-628805_628806_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_Oxygen_SDS.pdf,,,,,,,,,,,,,,,,,,,,
23,P624674,VBC Group Meta-Braze 179 brazing rods 2 x 500mm,VBC Group,47.78,"An industry standard, this VBC Group Meta-Braze 179 copper-phos 2 x 500mm brazing rod can be used for joining typical HVACR copper-to-copper tubes and fittings. Meeting ISO 17672 CuP179/CP203, this brazing rod is ideal in situations where a wide joint gap is to be filled and where control of the molten brazing alloy flow is vital. Where better ductility is needed, Meta-Braze 281 should be considered.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> VBC Group Meta-Braze 179 brazing rods 2 x 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/74/624674_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/VBC_Group_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,
24,P655831,Rothenberger swirl flame burner and jet,Rothenberger,17.85,"This Rothenberger swirl flame burner tip, or cool tip, and orifice kit offers a fine flame for intricate soldering and brazing jobs.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger swirl flame burner and jet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/31/NW-655831_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,
25,P628806,A-Gas OXYG010 Steel Oxygen Cylinder 10ltr,A Gas,29.87,This A-Gas 10L steel oxygen cylinder with acetylene is ideal for brazing copper pipes together in refrigeration and air conditioning systems and brazing together different metals such as steel and copper.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> A-Gas OXYG010 Steel Oxygen Cylinder 10ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/06/NW-628805_628806_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_Oxygen_SDS.pdf,,,,,,,,,,,,,,,,,,,,
26,P514160,Fernox Powerflow lead free solder spool 500g,Fernox,47.69,"Suitable for all plumbing jobs, this Fernox Powerflow lead-free solder wire helps you to produce perfect joints quickly while meeting all relevant health and safety and environmental requirements for potable water supplies.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Fernox Powerflow lead free solder spool 500g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/60/NW-514160_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/514160_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/514160_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fernox_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,
