,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Diameter,Range,Thickness,Warranty,Hazardous,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Size,Pipe Size,Attachment 4,Attachment 5,Attachment 6,Feature 13,Length (M),Material Type,Pack Quantity,Weight,Connection Size,Connection Type,Drainage Product Type,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Standards,Application,Attachment 7,Attachment 8,Attachment 9,Attachment 10,Attachment 11
10,P511330,Talon TS spacer,Talon,0.1,"This Talon TS standard spacer fits to the base of Talon hinged clips, MDPE clips and snap-in open clips, providing 13mm clearance from a fixing surface.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Talon TS spacer",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/30/NW-511330_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Spacers_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P637075,Lawton Tube MUN single cast munsen ring M10 22mm Brass,Lawton Tube,2.24,"Made of copper with a brass finish, this Lawton Tube MUN 22mm munsen ring is designed for use as a tube support on ceilings and walls. Copper is a cost effective solution for a wide range of pipework applications.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Lawton Tube MUN single cast munsen ring M10 22mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/82/NW-637074_637082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P621343,Armaflex Evo 13028 technical insulation 1-1/8in OD x 1/2in WT - 2mtr,Armaflex,4.14,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Armaflex Evo 13028 technical insulation 1-1/8in OD x 1/2in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,28 mm,Evo,28mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU13028000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,
13,P621344,Armaflex Evo 13035 EVO outdoor use 1-3/8” x ½” WALL (13035) 2m,Armaflex,4.48,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Armaflex Evo 13035 EVO outdoor use 1-3/8” x ½” WALL (13035) 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,35mm,Evo,3.5 mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU13035000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,
14,P637074,Lawton Tube MUN single cast munsen ring M10 15mm Brass,Lawton Tube,0.89,"Made of copper with a brass finish, this Lawton Tube MUN 15mm munsen ring is designed for use as a tube support on ceilings and walls. Copper is a cost effective solution for a wide range of pipework applications.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Lawton Tube MUN single cast munsen ring M10 15mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/82/NW-637074_637082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P511041,Center CB hinged wrap over pipe clip 22mm,Center CB,0.12,"This Center CB single hinged pipe clip is sized for use on 22mm copper and uPVC pipe and can be used to support the Ellis Patents pipe cover. Designed with a special hinge to reduce the risk of stress cracking, each clip includes a central fixing hole allowing them to be assembled together using a unique locking mechanism.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Center CB hinged wrap over pipe clip 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/42/NW-511040_511042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Center_CB_LTD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P511040,Center CB hinged wrap over pipe clip 15mm,Center CB,0.08,"This Center CB single hinged pipe clip is sized for use on 15mm copper and uPVC pipe and can be used to support the Ellis Patents pipe cover. Designed with a special hinge to reduce the risk of stress cracking, each clip includes a central fixing hole allowing them to be assembled together using a unique locking mechanism.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Center CB hinged wrap over pipe clip 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/42/NW-511040_511042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Center_CB_LTD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P511042,Center CB hinged wrap over pipe clip 28mm,Center CB,0.18,"This Center CB single hinged pipe clip is sized for use on 28mm copper and uPVC pipe and can be used to support the Ellis Patents pipe cover. Designed with a special hinge to reduce the risk of stress cracking, each clip includes a central fixing hole allowing them to be assembled together using a unique locking mechanism.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Center CB hinged wrap over pipe clip 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/42/NW-511040_511042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Center_CB_LTD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P621354,Armaflex Evo technical insulation 1-1/8in OD x 3/4in WT - 2mtr,Armaflex,7.63,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Armaflex Evo technical insulation 1-1/8in OD x 3/4in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,28 mm,Evo,28mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU19028000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,
19,P621353,Armaflex Evo technical insulation 7/8in OD x 3/4in WT - 2mtr,Armaflex,5.65,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Armaflex Evo technical insulation 7/8in OD x 3/4in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,22 mm,Evo,22mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU19022000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,
20,P670085,"JET Range cushion clamp 7/8"" (Pack of 10)",JET Range,51.54,"These JET Range 7/8"" cushion clamps are ideal for supporting copper refrigerant tube, particularly in multiple pipe runs. They have a zinc dichromate plating for excellent resistance to corrosion resistance while polymer inserts ensure positive grip, absorbing shocks and vibrations and preventing galvanic corrosion.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> JET Range cushion clamp 7/8"" (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/91/NW-670080_670091_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Install_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/am/ps/Jet_Cushion_Clamps.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P511060,Center CB nail type pipe clip 15mm,Center CB,0.06,This robust Center CB standard 15mm white polypropylene nail clip provides excellent pipe retention.,"Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Center CB nail type pipe clip 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/61/NW-511060_511061_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Center_CB_LTD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P511310,Talon TD double hinged wrap over pipe clip 15mm,Talon,0.22,"Easy to fit, this Talon TD 15mm double clip requires just one central screw fixing and is designed for use alongside a Talon pipe cover. Made of high quality polypropylene, this hinged clip securely locks a pipe into place, offering a 360° fixing. A range of hinged clips in a variety of sizes can be connected together via the dovetail for equal pipe spacing.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Talon TD double hinged wrap over pipe clip 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/11/NW-511310_511311_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Hinged_Clips_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT82106,Jubilee Jubilee® zinc plated mild steel hose clip 1ams 22-30mm,Jubilee,0.99,"Made of zinc-protected mild steel, this Jubilee Original range clip offers a clamping size of 22 - 30mm and is suitable for joining hose in a wide range of applications, from automotive industry and the automotive aftermarket to the agricultural sector, including irrigation and farm machinery, from pneumatic and hydraulic use in the industrial sector through to hardware, DIY and construction.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Jubilee Jubilee® zinc plated mild steel hose clip 1ams 22-30mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/06/NW-T82106_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Jubilee-Product_Brochure_Sept_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P257460,"Center ball chain hook 18"" and 1 3/4"" plug",Center,2.0,"Offering secure plug fixing, this Center 18"" ball chain and hook is supplied with a 1 3/4"" black plug. Chrome-plated, the chain has a traditional ball design.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Center ball chain hook 18"" and 1 3/4"" plug",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/60/257460_wm.jpg,,,,Chrome,,,16,,N,Steel,PSWCHA374537,Ball Chain Hook & Plug,N,Steel construction,Chrome-plated,With hook,Ball style chain,Black waste plug with triangle,,,,,,,,1 3/4,,,,,,,,,,,,,,,,,,,,,,,,
