,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Supplier Product Code,WEEE Compliant,Diameter,Range,Weight,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Connection Type 2,Type,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Colour,Pack Quantity,Pack Type,Feature 8,Feature 9
10,P581023,Laco Slic-Tite slictite paste 240ml,Laco,18.42,"Enabling easy disassembly, Laco silicate paste contains PTFE particles and will not dry out or harden over time.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Laco Slic-Tite slictite paste 240ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/24/NW-581023_581024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Laco_Slictite_Paste_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P457257,Regin heat sink compound,Regin,10.0,This Regin heat sink compound evenly dissipates heat at the probe for clamp-on and dry pocket boiler overheat thermostats.,Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Regin heat sink compound,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/57/NW-457257_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/457257_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PN37658,Center CB universal silicone 300ml White,Center CB,6.2,"This Center CB white universal silicone sealant is ideal for sealing around worktops, weather sealing around windows, top sealing around windows and door frames or glazing.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Center CB universal silicone 300ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/58/NW-N37658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P457997,Regin high temperature silicone sealant 310ml Black,Regin,13.98,"This Regin black high temperature silicone sealant offers good adhesion to metal, glass and glazed ceramics, among others.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Regin high temperature silicone sealant 310ml Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/97/NW-457997_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/457997_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P798006,Regin high temperature silicone 310ml White,Regin,13.98,"This Regin white high temperature silicone sealant offers good adhesion to metal, glass and glazed ceramics, among others.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Regin high temperature silicone 310ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/06/NW-798006_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/798006_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P688715,Pump House thread sealant 39ml,Pump House,6.84,"Filling voids while creating a fluid-tight seal, this Pump House Pro-Tite resin-based thread sealant seals from full vacuum up to 10 psi. Specially formulated for metals and plastics subject to extreme vibration, this sealant has a wide temperature range of-73 to 204°C and is resistant to most chemicals, including refrigerants, petroleum products, gases and steam.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Pump House thread sealant 39ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/15/NW-688715_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pump_House_DiversiTech_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Pro_Tite_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P830268,Regin flue & fire silicone black,Regin,4.47,"Designed to repair and seal joints that are subject to high temperatures, this Regin Flue’n’Fire Seal silicate cement is supplied in a 150ml tube with a nozzle for ease of application. With a black finish, this cement is well-suited to use on cookers or vehicle exhausts.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Regin flue & fire silicone black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/68/830268_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Regin_REGZ32_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/sd/s3/Regin_SDS3.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P439223,Regin Flow & Pressure REGU68 silicone tube (1),Regin,8.41,A 2M length of Regin Flow and Pressure clear silicone tube.,Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Regin Flow & Pressure REGU68 silicone tube (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/23/NW-439223_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P690288,Pump House Diversi-Flush HVAC flushing solvent kit,Pump House,416.28,"Formulated for refrigerant conversions and compressor burn-outs, Pump House Diversi-Flush HVAC flushing solvent kit for A/C and refrigeration systems is compatible with all refrigerants and compressor oils. Diversi-Flush has low toxicity, is non-flammable and residue-free.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Pump House Diversi-Flush HVAC flushing solvent kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/88/NW-690288_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Diversi_Flush_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PE68162,Geocel fire stop seal 380ml White,Geocel,7.21,"Designed for internal use, Dowsil 400 firestop intumescent acrylic sealant is an intumescent acrylic sealant formulated to maintain the integrity of re walls and partitions, providing up to a two hour fire rating. Dowsil 400 firestop will not emit halogenated by products under re conditions.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Geocel fire stop seal 380ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/62/NW-E68162_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Geocel_FIRESTOP_400_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Geocel_FIRESTOP_400_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dowsil_Firestop400_Sealant_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P830267,Regin flue & fire silicone natural,Regin,4.33,"Designed to repair and seal joints that are subject to high temperatures, this Regin Flue’n’Fire Seal silicate cement is supplied in a 150ml tube with a nozzle for ease of application. With a natural medium brown finish, this cement is well-suited to use on bricks or stone.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Regin flue & fire silicone natural,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/67/830267_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Regin_REGZ31_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/sd/s2/Regin_SDS2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P231590,CT1 Adhesive and Sealant White or Clear,CT1,20.0,TBC,Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> CT1 Adhesive and Sealant White or Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/90/231590_wm.jpg,,,,,N,231590 PK,N,,,,,,,,,,,,,,,,,,,,,,,,
22,PN37670,Center CB acrylic sealant 300ml White,Center CB,2.91,"Highly weather-resistant after curing, this Center CB acrylic sealant is easy to apply and quick drying, providing a tough, flexible finish in inside or outside applications.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Center CB acrylic sealant 300ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/70/NW-N37670_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Center_N37670_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Center_DECORATORS CAULK_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PE68201,Geocel Dowsil 791 weatherproofing sealant 310ml Black,Geocel,13.38,"This Dowsil 791 black weatherproofing silicone sealant is a one-part neutral silicone suitable for the weather sealing of curtain walling, building facades and expansion joints to the majority of exterior substrates.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Geocel Dowsil 791 weatherproofing sealant 310ml Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/01/NW-E68201_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Dow_Corning_791_Sealant_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dow_Corning_791_Sealant_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Dow_Corning_791_Sealant_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PP02248,DP ABS PLAIN SKT UNION         250104 1,Durapipe,34.78,"This Durapipe SuperFlo 1 x 1"" socket union is made of ABS and includes plain end connections. Ideal for low temperature fluid transportation, Durapipe ABS is highly robust, resistant to corrosion and extremely cost-effective.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> DP ABS PLAIN SKT UNION         250104 1,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/48/NW-P02248_wm.jpg,,,,,N,01205104,N,1,SuperFLO,0.21486,WRAS,Equal,1,1,Acrylonitrile Butadiene Styrene (ABS),1 x 1,Solvent Weld,Plain,Socket Union,Impact-resistant,Corrosion-resistant,Offers ductile strength,Lightweight,Superior flow,Low installed cost,WRAS approved,,,,,
25,PP56172,"Durapipe Astore abs cap 2.1/2""",Durapipe,9.23,"This Durapipe Astore CA4 2 1/2"" end cap is made of ABS (Acrylonitrile Butadiene Styrene) pipe. Suitable for pressurised irrigation systems, drinking water, chemical installations and water treatment systems, Astore PVC-U is a solvent-welded, fully matched pipework system available in imperial and metric sizes. Lightweight ABS makes installation simple, saving on time, effort and cost of fitting compared to traditional pipework materials.","Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Durapipe Astore abs cap 2.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/72/NW-P56172_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PP96467,International Plastics Weld on Wet 'R Dry 725 wet and dry cement 240ml,International Plastics,19.62,"Extremely fast setting, this International Plastic 725 weld-on wet R dry cement is a medium-bodied PVC cement suitable for all classes and schedules up to 3"" diameter interference fit. This cement has been especially formulated for use in extremely wet conditions or where quick pressurisation is needed.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> International Plastics Weld on Wet 'R Dry 725 wet and dry cement 240ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/67/NW-P96467_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Weld_On_Wet_R_Dry_Cement_Msds.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P231627,Dow 785 clear and white pack,Dow,15.0,TBC,Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Dow 785 clear and white pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/27/231627_wm.jpg,,,,,N,231627 PK,N,,,,,,,,,,,,,,,,,,,,,,,,
28,P581035,Laco Epoxy 19571G LA-CO epoxy putty stick grey (1),Laco,17.91,"Safe for use in potable water systems, this LA-CO grey epoxy putty stick in grey is used to fix water system leaks and cracks. A fast, convenient solution, this epoxy stick requires just a quick mix before use and hardens in just five to ten minutes once applied.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Laco Epoxy 19571G LA-CO epoxy putty stick grey (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/35/NW-581035_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Brian_Hyde_LA_CO_Spoxy_Stick_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
