,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 2,Attachment 3,Range,Boiler Section,Boiler Range,Feature 4,Feature 5,Feature 6,Feature 7,Connection,Thread Standard,Max Set Pressure,Connection Gender,Material,Thread Size,Maximum Operating Temperature,Connection Size,Application,Attachment 4,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 5,Attachment 6,Attachment 7,Pack Quantity
10,P158096,Neomitis MTV222 2-port zone valve 22mm,Neomitis,58.33,This Neomitis MTV222 motorised zone valve with 22mm compression connections manages and controls the flow of water in heating and domestic hot water systems. Two port MTV normally closed models have end switches for electrical control of the pump and/or boiler.,Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Neomitis MTV222 2-port zone valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/97/NW-158096_158097_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Neomitis_MTV_Technical.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Neomitis_MTV_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P468870,Advanced Water 101 Series PREL101013 pressure relief valve,Advanced Water,54.54,"Made of hot pressed brass, the RWC 101 series 3 bar pressure relief valve has the response pressure helpfully indicated on the cover of the included high grade fibreglass reinforced plastic cap. Designed to ensure safe pressure levels in closed circuit water heating systems, this valve is fitted with 3/4"" FBSP connections.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Advanced Water 101 Series PREL101013 pressure relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/70/468870_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_101_Series_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P339359,Danfoss H Series HS3 3 port valve with HSA3 22mm,Danfoss,101.47,"Offering versions for copper and iron pipework, Danfoss H three port paddle motorised zone valves are designed to work with an actuator, with assembly of the actuator to the valve body made on-site. These high capacity bodies incorporate two self-cleaning positive shut-off shoes and flow through the port valves can be in either direction.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Danfoss H Series HS3 3 port valve with HSA3 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/61/NW-339359_339361_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DomesticProdSelection_Guide.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Danfoss_H-Series_Valve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_H-Series_Valves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P339381,Danfoss H Series HP22 2 port valve 22mm,Danfoss,69.22,"Offering versions for copper and iron pipework, Danfoss H three port shoe motorised zone valves are designed to work with an actuator, with assembly of the actuator to the valve body made on-site. These high capacity bodies incorporate two self-cleaning positive shut-off shoes and flow through the port valves can be in either direction.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Danfoss H Series HP22 2 port valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/82/NW-339381_339382_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DomesticProdSelection_Guide.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Danfoss_H-Series_Valve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_H-Series_Valves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P339365,Danfoss H Series HP22B 2 port valve and HPA2 22mm,Danfoss,69.22,"Offering versions for copper and iron pipework, Danfoss H three port shoe motorised zone valves are designed to work with an actuator, with assembly of the actuator to the valve body made on-site. These high capacity bodies incorporate two self-cleaning positive shut-off shoes and flow through the port valves can be in either direction.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Danfoss H Series HP22B 2 port valve and HPA2 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/65/NW-339365_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DomesticProdSelection_Guide.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Danfoss_H-Series_Valve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_H-Series_Valves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P310828,Honeywell Home V073A V4073A 1088 28Mm Mid Pos Valve,Honeywell Home,122.76,"This V4073A motorised diverter valve with 28mm compression connections controls the flow of water in domestic central heating systems, where both radiator and hot water cylinder circuits are pumped. Suitable for small-to-medium sized installations, this mid-position diverter valve should be used in conjunction with a room thermostat and cylinder thermostat for full temperature control of a conventional, fully pumped central heating installation. This type of control system is known as Sundial Y Plan and components can be connected using the Sundial Plan Wiring Centre, including dedicated terminations with no need for a wiring diagram.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Honeywell Home V073A V4073A 1088 28Mm Mid Pos Valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/45/222445_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P310817,"Honeywell Home V4043H1007/U hw home v4043h 1007 3/4"" 2 port valve",Honeywell Home,111.2,"This V4043H motorised two port zone valve with 3/4"" threaded connections is suitable for a variety of flow control applications in domestic and light commercial central heating systems. Positioned where it cannot block any vent or cold feed when closed, this valve can be plumbed at any angle but the powerhead should not be below the horizontal level of the pipework. If fitted in a confined space, ventilation must be available to keep the valve within its ambient temperature range and access should be available for removing the powerhead if required","Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Honeywell Home V4043H1007/U hw home v4043h 1007 3/4"" 2 port valve",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/17/NW_310817_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P158095,Neomitis MTV322 3-port mid position valve 22mm,Neomitis,73.29,This Neomitis MTV322 motorised zone valve with 22mm compression connections manages and controls the flow of water in heating and domestic hot water systems. Three port MTV normally closed models have end switches for electrical control of the pump and/or boiler.,Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Neomitis MTV322 3-port mid position valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/95/NW-158095_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Neomitis_MTV_Technical.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Neomitis_MTV_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P222442,Hive Active heating thermostat,Hive,128.31,"The next generation Hive Active heating thermostat pack offers intuitive smart control and simple features to provide remote control of an existing heating system via smartphone, tablet or computer. Using the simple Hive app on an Android or iOS device, all key features associated with heating can be controlled from anywhere in the world. The Hive Hub plugs into a broadband router, while the receiver allows the thermostat and boiler to talk to each other.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Hive Active heating thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/42/NW-222442_wm.jpg,,N,222442 PK,Thermostat Pack,N,"Suitable for gas/LPG systems, oil boilers and some electric boilers","Heating schedules, set up to 6 daily time slots",Heating boost for up to 6 hours,,,Active,Control Panel,Compatible with all boilers,Geolocation alerts when user leaves or returns,Automatic frost protection,Child lock,Holiday mode,,,,,,,,,,,,,,,,,,,
19,P311919,"Honeywell Home DU146-11/4E hw home du146 1-1/4""e diff by-pass valve",Honeywell Home,159.2,"Helping a property to meet Building Regs, this DU146 automatic bypass valve controls the flow of water through a bypass circuit installed between flow and return pipework on a large system or branch of a district heating system. Allowing flow through the bypass only as needed, when flow through the system is reduced and when zone valves or radiator thermostats are closing, this valve minimises energy use.","Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Honeywell Home DU146-11/4E hw home du146 1-1/4""e diff by-pass valve",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/19/NW-311919_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P468883,Advanced Water 309 Series 309470 CST 90 degree pressure temperature relief valve 7bar,Advanced Water,62.04,"A vital safety device, this Altecnic 309 7 bar pressure and temperature relief valve controls and limits the temperature and pressure of water in an unvented domestic storage cylinder, keeping stored hot water at a temperature of less than 100°C. This valve is fitted with 1/2"" MBSP x 15mm compression connections.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Advanced Water 309 Series 309470 CST 90 degree pressure temperature relief valve 7bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/83/468883_wm.jpg,,N,014-475-0702,Temperature and Pressure Relief Valve,N,Series 309 Pressure & Temperature Relief Valve,Pressure & temperature relief valves for unvented hot water systems,"1/2"" sized valve",,,309 Series,Gas Assembly,,WRAS Approved,,,,1/2 inch MBSP x 15 mm Compression,BSP,7 bar,Male,Brass,1/2 inch,90,,,,,,,,,,,,
21,P302104,Drayton 679H314-30LO 3-port motorised valve 22mm,Drayton,133.02,"Making servicing simple, this Drayton 22mm motorised valve incorporates a snap-on actuator, which can be removed from the body by simply pressing the release button on the side. This system allows easy access for replacement of the motor or complete actuator replacement.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Drayton 679H314-30LO 3-port motorised valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/04/NW-302104_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_MotorisedValves_Installation.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_MotorisedValves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P470541,"Reliance Valves TPR15 520-475-0702 10 bar 1/2""x15mm",Reliance Valves,97.55,"This RWC 10 bar pressure and temperature relief valve has 1/2"" MBSO and 15mm connections. This part is fitted in the upper portion of a cylinder in the hottest system temperatures. The relief valve is designed to safely relieve over pressure.","Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Reliance Valves TPR15 520-475-0702 10 bar 1/2""x15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/41/470541_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_TPR15_TPR22_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P339370,Danfoss H Series HP28B 2-port valve and HPA2 28mm,Danfoss,87.39,"Offering versions for copper and iron pipework, Danfoss H three port shoe motorised zone valves are designed to work with an actuator, with assembly of the actuator to the valve body made on-site. These high capacity bodies incorporate two self-cleaning positive shut-off shoes and flow through the port valves can be in either direction.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Danfoss H Series HP28B 2-port valve and HPA2 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/70/NW-339370_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DomesticProdSelection_Guide.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Danfoss_H-Series_Valve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_H-Series_Valves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P451049,Secure ZonePlus Z222 2 port 22mm valve,Secure,60.82,"The two-port Secure ZonePlus Z222 22mm motorised zone valve is fitted with a single pump for hot water and central heating. Supplied with an auxiliary switch for the control of water circulation in fully pumped systems, this pump can supply flow to either or both circuits using dedicated valves for each. An extra long electrical cable, compression fittings and removable quick-change actuator are included, making the Z222 easy to install and simple to maintain, even in challenging locations.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Secure ZonePlus Z222 2 port 22mm valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/49/NW-451049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Secure_Z222_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P302096,Drayton ZA6/779 Za6/779 28mm 2-Port Mot.Valve,Drayton,95.99,"Making servicing simple, this Drayton 28mm motorised zone valve incorporates a snap-on actuator, which can be removed from the body by simply pressing the release button on the side. This system allows easy access for replacement of the motor or complete actuator replacement.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Drayton ZA6/779 Za6/779 28mm 2-Port Mot.Valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/96/NW-302096_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_MotorisedValves_Installation.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_MotorisedValves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
