,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Diameter,Material Type,Range,Warranty,Hazardous,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Weight,Attachment 3,Attachment 4,Attachment 5,Connection Type
10,P172140,Center CYL L1B indirect vented enviroment cylinder 1200 x 450mm Copper,Center,333.77,"The Center Copper Enviro Cylinders are designed, manufactured and tested to the British Standard BS 1566-1. The double feed, indirectly heated cylinders are suitable for pumped primary circuits and a maximum working head of 10 meters. They come insulated with a removable HCFC-free jacket, providing effective insulation for low standing heat loss during the life of the product. At the end of the product’s life you can simply remove the jacket, making the copper cylinder fully recyclable and preventing it from going to landfill. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center CYL L1B indirect vented enviroment cylinder 1200 x 450mm Copper,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/40/172140_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172140_Center_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P172142,Center CYL L1B vented enviroment cylinder 900 x 450mm Stainless Steel,Center,210.68,"The Center Stainless Steel cylinders are designed, manufactured and tested to the HWA (Hot Water Association) specification. They feature a Shower take-off/secondary return on all models as standard. They come insulated with a removable HCFC-free jacket, providing effective insulation for low standing heat loss during the life of the product. At the end of the product’s life you can simply remove the jacket, making the cylinder fully recyclable and preventing it from going to landfill. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center CYL L1B vented enviroment cylinder 900 x 450mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/42/172142_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172142_Center_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/172142_Center_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P126566,Gledhill TruCyl indirect vented cylinder including immersion heater 1200 x 450mm,Gledhill,315.6,"This reliable, high quality Gledhill TruCyl indirect vented stainless steel cylinder is supplied with an immersion heater for convenient, complete installation.",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Gledhill TruCyl indirect vented cylinder including immersion heater 1200 x 450mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/66/126561_126566_wm.jpg,,,Blue,450mm,Stainless Steel,TruCyl,10 Years,N,SETRU48X18INDIMM,Vented Cylinder,N,162 l,Includes factory fitted immersion heater,Stainless steel construction,Blue finish,,,,,,,,,,,,,
13,P193317,Kingspan Albion Hercal indirect copper cylinder grade 3 1500 x 300mm,Kingspan,423.09,"Providing heating and domestic hot water in an open-vented system, this 95L Kingspan Albion Hercal indirect hot water cylinder with standard coil uses a traditional gas, oil or electric boiler. Built from tough copper and lagged with 35mm of CFC-free insulation, this reliable cylinder is designed to minimise standing heat loss.",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Kingspan Albion Hercal indirect copper cylinder grade 3 1500 x 300mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/17/193317_wm.jpg,,,Blue,300mm,copper,Albion Hercal,2 Year,N,KN1500300G3,Vented Cylinder,N,95 l,Provides domestic hot water and space heating,Copper construction,"Single 35mm thickness of environmentally-friendly, CFC-free urethane foam lagging",Grade 3 to suit various working heads,Blue finish,Part L1B compliant,Manufactured to BS 1566,Energy Efficiency Class 3,2 year warranty against manufacturing defects,,,,,,,
14,P193356,Kingspan Albion Fortic F3 indirect copper cylinder combi 900 x 450mm,Kingspan,390.73,"Incorporating a cold water cistern and hot water storage tank, the compact 85L Kingspan Albion Fortic combi hot water cylinder does away the need for a cold water storage tank and pipe work, saving space in your home and reducing installation and maintenance costs, making it ideal for flats, bungalows, bedsits or homes with converted lofts. Lagged with CFC-free urethane foam insulation, this hardwearing copper cylinder reduces heat loss for higher levels of efficiency.",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Kingspan Albion Fortic F3 indirect copper cylinder combi 900 x 450mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/58/193356_193358_wm.jpg,,,Blue,450mm,copper,Albion Fortic,2 Year,N,KN900450G3C,Vented Cylinder,N,85 l,Single thickness of environmentally-friendly CFC-free urethane foam lagging,Suitable replacement for old Economy 7 style combi cylinders,Copper construction,Blue finish,Manufactured to British Standard 3198,Energy Efficiency Class 3,2 year warranty against manufacturing defects,,,,,,,,,
15,P193342,Kingspan Albion Hercal indirect copper cylinder grade 3 900 x 450mm,Kingspan,291.18,"Providing heating and domestic hot water in an open-vented system, this 117L Kingspan Albion Hercal indirect hot water cylinder with standard coil uses a traditional gas, oil or electric boiler. Built from tough copper and lagged with 35mm of CFC-free insulation, this reliable cylinder is designed to minimise standing heat loss.",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Kingspan Albion Hercal indirect copper cylinder grade 3 900 x 450mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/42/193342_wm.jpg,,,Blue,450mm,copper,Albion Hercal,2 Year,N,KN900450G3,Vented Cylinder,N,117 l,Provides domestic hot water and space heating,Copper construction,"Single 35mm thickness of environmentally-friendly, CFC-free urethane foam lagging",Grade 3 to suit various working heads,Blue finish,Part L1B compliant,Manufactured to BS 1566,Energy Efficiency Class 3,2 year warranty against manufacturing defects,,,,,,,
16,P172144,Center CYL L1B vented enviroment cylinder 1050 x 450mm Stainless Steel,Center,231.65,"The Center Stainless Steel cylinders are designed, manufactured and tested to the HWA (Hot Water Association) specification. They feature a Shower take-off/secondary return on all models as standard. They come insulated with a removable HCFC-free jacket, providing effective insulation for low standing heat loss during the life of the product. At the end of the product’s life you can simply remove the jacket, making the cylinder fully recyclable and preventing it from going to landfill. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center CYL L1B vented enviroment cylinder 1050 x 450mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/44/172144_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172144_Center_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/172144_Center_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P126564,Gledhill TruCyl indirect vented cylinder including immersion heater 1050 x 390mm,Gledhill,265.82,"This reliable, high quality Gledhill TruCyl indirect vented stainless steel cylinder is supplied with an immersion heater for convenient, complete installation.",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Gledhill TruCyl indirect vented cylinder including immersion heater 1050 x 390mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/66/126561_126566_wm.jpg,,,Blue,3 / 90mm,Stainless Steel,TruCyl,10 Years,N,SETRU42X16INDIMM,Vented Cylinder,N,117 l,Includes factory fitted immersion heater,Stainless steel construction,Blue finish,,,,,,,,,,,,,
18,P172145,Center CYL L1B vented enviroment cylinder 1200 x 450mm Stainless Steel,Center,280.13,"The Center Stainless Steel cylinders are designed, manufactured and tested to the HWA (Hot Water Association) specification. They feature a Shower take-off/secondary return on all models as standard. They come insulated with a removable HCFC-free jacket, providing effective insulation for low standing heat loss during the life of the product. At the end of the product’s life you can simply remove the jacket, making the cylinder fully recyclable and preventing it from going to landfill. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center CYL L1B vented enviroment cylinder 1200 x 450mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/45/172145_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/172145_Center_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172145_Center_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P172136,Center CYL L1B indirect vented enviroment cylinder 900 x 400mm Copper,Center,249.55,"The Center Copper Enviro Cylinders are designed, manufactured and tested to the British Standard BS 1566-1. The double feed, indirectly heated cylinders are suitable for pumped primary circuits and a maximum working head of 10 meters. They come insulated with a removable HCFC-free jacket, providing effective insulation for low standing heat loss during the life of the product. At the end of the product’s life you can simply remove the jacket, making the copper cylinder fully recyclable and preventing it from going to landfill. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center CYL L1B indirect vented enviroment cylinder 900 x 400mm Copper,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/36/172136_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172136_Center_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P126561,Gledhill TruCyl indirect vented cylinder including immersion heater 900 x 400mm,Gledhill,240.2,"This reliable, high quality Gledhill TruCyl indirect vented stainless steel cylinder is supplied with an immersion heater for convenient, complete installation.",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Gledhill TruCyl indirect vented cylinder including immersion heater 900 x 400mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/66/126561_126566_wm.jpg,,,Blue,400 mm,Stainless Steel,TruCyl,10 Years,N,SETRU36X16INDIMM,Vented Cylinder,N,96 l,Includes factory fitted immersion heater,Stainless steel construction,Blue finish,,,,,,,,,,,,,
21,P126563,Gledhill TruCyl indirect vented cylinder including immersion heater 900 x 450mm,Gledhill,263.4,"This reliable, high quality Gledhill TruCyl indirect vented stainless steel cylinder is supplied with an immersion heater for convenient, complete installation.",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Gledhill TruCyl indirect vented cylinder including immersion heater 900 x 450mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/66/126561_126566_wm.jpg,,,Blue,450mm,Stainless Steel,TruCyl,10 Years,N,SETRU36X18INDIMM,Vented Cylinder,N,117 l,Includes factory fitted immersion heater,Stainless steel construction,Blue finish,,,,,,,,,,,,,
22,P172137,Center CYL L1B indirect vented enviroment cylinder 900 x 450mm Copper,Center,261.81,"The Center Copper Enviro Cylinders are designed, manufactured and tested to the British Standard BS 1566-1. The double feed, indirectly heated cylinders are suitable for pumped primary circuits and a maximum working head of 10 meters. They come insulated with a removable HCFC-free jacket, providing effective insulation for low standing heat loss during the life of the product. At the end of the product’s life you can simply remove the jacket, making the copper cylinder fully recyclable and preventing it from going to landfill. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center CYL L1B indirect vented enviroment cylinder 900 x 450mm Copper,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/37/172137_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172137_Center_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P170860,Center Vent WOLBIND24F copper cylinder g3 l1b 1200x45,Center,340.01,"The Center Copper Cylinders are designed, manufactured and tested to the British Standard BS 1566-1. The double feed, indirectly heated cylinders are suitable for pumped primary circuits and a maximum working head of 10 meters. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center Vent WOLBIND24F copper cylinder g3 l1b 1200x45,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/60/NW-170856_170860_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_VentedFoam_Cylinder_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P125624,Gledhill Economy 7 direct cylinder 1050 x 400mm,Gledhill,442.46,"Making good use of off-peak electricity tariffs, the Gledhill Economy 7 116L direct domestic hot water vented cylinder saves on energy for lower costs and more sustainable operation. Made of robust copper, this eco-friendly 1050 x 400mm cylinder is reliably insulated using rapeseed oil-derived Polyol, reducing heat waste while also ensuring the entire cylinder is fully recyclable when it comes to the end of its useful life.",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Gledhill Economy 7 direct cylinder 1050 x 400mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/24/125624_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/Gledhill_Vented_Cylinders_V2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P193347,Kingspan Albion Hercal indirect copper cylinder grade 3 1500 x 450mm,Kingspan,572.41,"Providing heating and domestic hot water in an open-vented system, this 206L Kingspan Albion Hercal indirect hot water cylinder with standard coil uses a traditional gas, oil or electric boiler. Built from tough copper and lagged with 35mm of CFC-free insulation, this reliable cylinder is designed to minimise standing heat loss.",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Kingspan Albion Hercal indirect copper cylinder grade 3 1500 x 450mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/47/193347_wm.jpg,,,Blue,450mm,copper,Albion Hercal,2 Year,N,KN1500450G3,Vented Cylinder,N,206 l,Provides domestic hot water and space heating,Copper construction,"Single 35mm thickness of environmentally-friendly, CFC-free urethane foam lagging",Grade 3 to suit various working heads,Blue finish,Part L1B compliant,Manufactured to BS 1566,Energy Efficiency Class 3,2 year warranty against manufacturing defects,,,,,,,
