,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Range,Hazardous,Material,Number of Ports,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Connection Size,Warranty,Depth (mm),Dimensions (L x W x D),Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14
10,PP05171,"Uponor Vario S FM manifold eurocone 6 x 3/4""",Uponor,254.75,"This Uponor Vario S six port stainless steel manifold is suitable for use in radiant heating and cooling systems. With 3/4"" Eurocone connectors all Uponor pipe dimensions are compatible, making this manifold suitable for all Uponor underfloor heating and cooling systems.","Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Uponor Vario S FM manifold eurocone 6 x 3/4""",,Manifold;Fill ;drain points;1 inch ball valve;Valve pins for actuator control,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/41/1086541_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/pn/Uponor_Smart-S_PN.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Vario_S_Manifold_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P581431,JG Underfloor speedfit 6 port manifold 15mm conns,JG Underfloor,291.8,"This stainless steel JG Speedfit six zone underfloor heating manifold is manufactured to the highest standards for robust reliability. With Speedfit Push-fit connections and pre-fitted with brackets, vibration isolation mounts and automatic air vent, this manifold is ultra-easy and fast to install.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor speedfit 6 port manifold 15mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/31/581431_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG UFH Fittings Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_UFH_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P581488,JG Underfloor Lowfit JGLOWFITMAN8 8 port manifold stainless steel 12mm conns,JG Underfloor,350.17,"Manufactured to the best possible quality, the high performance JG Speedfit LowFit eight port underfloor heating manifold promises reliability and longevity. Manufactured in stainless steel, this manifold offers quick and easy installation thanks to its Speedfit push-fit connections, pre-assembled wall brackets and ready-fitted vibration isolation mounts and automatic air vent. Suitable for left or right handed supplies, this manifold comes fully assembled with flow and return rails and with adjustable flow meters and a fill valve included. Protective dust caps on the return rail are suitable for removal, opening and closing flow to pipe loops for the installation of circuit actuator valves.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor Lowfit JGLOWFITMAN8 8 port manifold stainless steel 12mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/88/581488_wm.jpg,,,,,Lowfit,N,Stainless Steel,8,JGLOWFITMAN8,N/A,N,High performance manifold,Stainless steel construction,"Fast, easy installation using 12mm Speedfit connections",No need for further reducing adaptors,Easy to fit due using pre-mounted brackets and vibration isolation mount,Integral automatic air vent discharges air that could affect circulation,Valves on return manifold compatible with thermoelectric heads,12 mm,2,60.5,120x336x605,Rail valves on return rail allow easy connection of circuit actuators,Versatile assembly for left or right-hand supply,Suitable for use with JG Speedfit PEX and polybutylene barrier pipe,2 year warranty,,,
13,P581485,JG Underfloor LowFit 5 port manifold stainless steel 12mm conns,JG Underfloor,242.94,"Manufactured to the best possible quality, the high performance JG Speedfit LowFit five port underfloor heating manifold promises reliability and longevity. Manufactured in stainless steel, this manifold offers quick and easy installation thanks to its Speedfit push-fit connections, pre-assembled wall brackets and ready-fitted vibration isolation mounts and automatic air vent. Suitable for left or right handed supplies, this manifold comes fully assembled with flow and return rails and with adjustable flow meters and a fill valve included. Protective dust caps on the return rail are suitable for removal, opening and closing flow to pipe loops for the installation of circuit actuator valves.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor LowFit 5 port manifold stainless steel 12mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/87/NW-581482_581487_wm.jpg,,,,,Lowfit,N,Stainless Steel,5,JGLOWFITMAN5,Manifold,N,5 ports,Stainless steel construction,High performance,"Easy, quick install with 12mm Speedfit connections",Speedfit connections eliminate requirement for reducing adaptors,Pre-mounted brackets and vibration isolation mount for ease of installation,Integral automatic air vent eliminates the air that may impact circulation,12 mm,2 Year,,,Valves on return manifold compatible with thermoelectric heads,Rail valves on return rail for easy connection of circuit actuators,Suitable for left- or right-hand supply,Maximum working pressure 3 bar,Maximum test pressure 10 bar,Working temperature 30 - 55°C,2 year warranty
14,PP97010,Uponor Fulvia T pump group MPG-UK 15kW,Uponor,573.55,"Suitable for heating loads of up to 15kW, the Uponor Fluvia T pump group is a compact and lightweight underfloor heating thermostatic mixing control supplied complete with a Wilo Para pump. Designed for hassle-free direct connection to heating manifolds, the Fluvia comes fully assembled in left-hand configuration with flexible features like adjustable manifold centres and suitability for left, right or under boiler connection, making it easy to fit and maintain.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Uponor Fulvia T pump group MPG-UK 15kW,,T pump group;2x isolating ball valves;Red lever hot inlet;Blue lever return,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/10/P97010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/70/10/P97010.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Fulvia_T_Pump_Group_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P581505,JG Underfloor 11 port JGUFHMAN11/3 manifold s/s 15mm connections,JG Underfloor,451.58,"Keeping underfloor heating pipework in one place, the JG Underfloor eleven port manifold distributes warm water through pipe circuits for even warmth without hot spots. Manufactured in stainless steel to very high standards, this manifold offers quick, simple installation thanks to its JG Speedfit connections, integral air vent and fill valve and its pre-assembled wall bracket and vibration isolation mount. Additionally, pre-assembled flow rate indicators allow for the easy adjustment of flow and pipe circuit isolation. Protective dust caps on the return rail are suitable for removal, opening and closing flow to pipe loops for the installation of circuit actuator valves. Suitable for use with the JG Aura wiring centre and JG Aura heating controls, the JG Underfloor manifold can also be used for independent zone control.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor 11 port JGUFHMAN11/3 manifold s/s 15mm connections,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/05/NW-581505_wm.jpg,,,,,11 port,N,Stainless Steel,11,JGUFHMAN11/3,N/A,N,JG Underfloor 11 Port Manifold connects and centralises underfloor (UFH) pipework in one place and distributes warm water through the pipe circuits to provide even and comfortable heat,"When combined with the JG Aura wiring centre and JG Aura heating controls, it also offers independent zone control","Made from stainless steel, the manifold is manufactured to the highest standards","Fast and simple to install, it has a pre-fitted wall bracket and vibration isolation mount and uniquely features JG Speedfit connections and an integral air vent and fill valve",It also features pre-assembled flow rate indicators for adjusting flow and isolating pipe circuits,"Protective dust caps are supplied on the return rail, which can be removed when installing circuit actuator valves to open and close the flow of water to each pipe loop.",,15mm,2,755,120x336x755,,,,,,,
16,P567631,Wavin Wavin Hep2O Underfloor Heating 15UH512 underfloor heating composite manifold control pack,Wavin,504.63,"Built around a full composite manifold, this Wavin Hep2O underfloor heating control pack includes a three port mixing unit and a robust and reliable Grundfos pump. This pack is suitable for the control of UFH in domestic or light commercial premises.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Wavin Wavin Hep2O Underfloor Heating 15UH512 underfloor heating composite manifold control pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/31/567631_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Hep2O_Wavin_UFH_Manifold_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PP95910,"Uponor UNI-C manifold L 2 pole 3/4 x 1/2""",Uponor,23.58,This plated-brass Uponor UNI-C two port manifold with valve allows each underfloor heating circuit to be isolated.,"Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Uponor UNI-C manifold L 2 pole 3/4 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/11/P95910_P95911_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_A5_Price_2020_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor_MLC_Sales_2014_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P542506,Hep2O Hepworth HX92T/15W 2 port manifold 15mm,Hep2O,35.8,"Offering quick, easy and reliably secure connection, this Hep2O 15mm two-port manifold features In4Sure joint recognition and allows for demounting using the brand's HepKey system. Colour-coded packaging makes finding the right size Hep2O fittings simple - look out for blue for 15mm sizes.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Hep2O Hepworth HX92T/15W 2 port manifold 15mm,,1 manifold,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/06/542506_wm.jpg,,,,,Hepworth,N,Brass,2,HX92T/15W,Manifold,N,"Converts 15mm Hep2O pipe to 3/4"" BSP male/female connection",In4Sure joint recognition for secure joints,Leak-free connection guaranteed,Secure demounting using HepKey system,Colour-coded packaging for easy identification,"Green 10mm, blue 15mm, purple 22mm, orange 28mm",Meets BS EN 7291 parts 1 and 2,15mm,50 Years,40,100x95x40mm,WRAS approved,50 warranty,,,,,
19,P567633,Wavin Hep2O 15UH511 underfloor heating composite manifold 1-piece balancing adaptor 15mm,Wavin,57.9,"Serving two or more plumbed UFH circuits connected to a boiler or alternative heat source, this Wavin Hep2O underfloor heating composite manifold includes a single port and 15mm connections. Should the underfloor heating be connected to a high temperature heat source that also controls hot water or radiators, a mixing unit will need to be connected to this manifold. This will ensure that water is mixed to the correct temperature for the system.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Wavin Hep2O 15UH511 underfloor heating composite manifold 1-piece balancing adaptor 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/33/567633_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Hep2o_Underfloor_Product-Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hep2o_Underfloor_Manifold_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P581486,JG Underfloor LowFit 6 port manifold stainless steel 12mm conns,JG Underfloor,289.04,"Manufactured to the best possible quality, the high performance JG Speedfit LowFit six port underfloor heating manifold promises reliability and longevity. Manufactured in stainless steel, this manifold offers quick and easy installation thanks to its Speedfit push-fit connections, pre-assembled wall brackets and ready-fitted vibration isolation mounts and automatic air vent. Suitable for left or right handed supplies, this manifold comes fully assembled with flow and return rails and with adjustable flow meters and a fill valve included. Protective dust caps on the return rail are suitable for removal, opening and closing flow to pipe loops for the installation of circuit actuator valves.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor LowFit 6 port manifold stainless steel 12mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/87/NW-581482_581487_wm.jpg,,,,,Lowfit,N,Stainless Steel,6,JGLOWFITMAN6,Manifold,N,6 ports,Stainless steel construction,High performance,"Easy, quick install with 12mm Speedfit connections",Speedfit connections eliminate requirement for reducing adaptors,Pre-mounted brackets and vibration isolation mount for ease of installation,Integral automatic air vent eliminates the air that may impact circulation,12 mm,2 Year,,,Valves on return manifold compatible with thermoelectric heads,Rail valves on return rail for easy connection of circuit actuators,Suitable for left- or right-hand supply,Maximum working pressure 3 bar,Maximum test pressure 10 bar,Working temperature 30 - 55°C,2 year warranty
21,P407839,Maincor UFH CP150A under floor heating control pack and A rated pump,Maincor,461.05,"Conveniently pre-assembled, the Maincor UFH control pack connects onto a manifold via isolating ball valves. This efficient unit blends and circulates water around an underfloor heating system of up to 150M² in area or with a maximum heat load requirement of 14kW. The UFH control pack includes an A-rated pump for reliable and economical heating performance.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Maincor UFH CP150A under floor heating control pack and A rated pump,,Control pack;‘A’ rated energy efficient pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/39/407839_wm.jpg,,,,,UFH,N,Nickel plated brassFibreVitonStainless SteelCopper wiringPlastic,112,CP150A,Ufh Control Pack,N,Includes control pack and pump,Maximum heat load 14kW,For areas of up to 150M²,Pump is rated A for energy efficiency,2 year warranty,,,,2 years,160,320x160x160,,,,,,,
