,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Drainage Product Type,Material,Standards,Supplier Product Code,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Attachment 8,Type
10,PQ64196,Wavin OsmaSoil single socket pipe 3mtr 110mm Grey,Wavin,69.33,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110mm pipe is made of grey PVC-U. It is supplied in a 3M length with durable and reliable 100mm push-fit ends.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Wavin OsmaSoil single socket pipe 3mtr 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/96/NW-Q64196_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PF67135,Polypipe PolySoil short boss pipe 110mm White,Polypipe,13.03,"Made of white PVC-U, this Polypipe PolySoil boss pipe with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Polypipe PolySoil short boss pipe 110mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/35/NW-F67135_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PQ66879,OSMAS PVC-U FLEX VENT PIPE BK 110,Wavin,105.15,"Made of black PVC-u, this Wavin Osma 110mm flex vent pipe is fitted using push-fit connections with reliable captive seal technology. This fitting is part of the comprehensive Osma PVC-u soil system which features a wide range of pipes and fittings in a variety of colours and sizes, all designed for sanitary waste removal.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> OSMAS PVC-U FLEX VENT PIPE BK 110,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/79/NW-Q66879_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC-U_Pipe_Fittings_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PF66924,Polypipe PolySoil® access pipe 110mm Black,Polypipe,80.08,"Made of black PVC, Polypipe PolySoil access pipe with 110mm push-fit connections, is suitable for use in domestic applications.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Polypipe PolySoil® access pipe 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/24/NW-F66924_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PF68800,Polypipe PE double spigot soil pipe 110mm x 3mtr Grey,Polypipe,93.05,"Supplied in a 3M length, this Polypipe System 2000 pipe is made of grey PVC-U with 110mm solvent weld connections and is suitable for domestic use. An alternative to ring seal fittings, System 2000 Solvent weld soil fittings are the ideal choice where a permanent homogeneous connection is needed.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Polypipe PE double spigot soil pipe 110mm x 3mtr Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/00/NW-F68800_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PQ66900,Wavin Wavin OsmaSoil PVC-U short boss 110mm White,Wavin,13.37,"Built for sanitary waste removal, this white PVC-u Wavin OsmaSoil 110mm short boss pipe has solvent socket ends for secure fitting. Suitable for commercial or domestic installation, this fitting is part of a comprehensive waste system available in a range of sizes and colours to suit any location.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Wavin Wavin OsmaSoil PVC-U short boss 110mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/00/NW-Q66900_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC-U_Pipe_Fittings_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PQ64194,Wavin Wavin OsmaSoil boss pipe ring socket 110mm Black,Wavin,21.75,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110mm ring socket boss pipe is made of durable black PVC-u and is fitted with secure 110 x 50 x 100mm socket x push-fit connections.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Wavin Wavin OsmaSoil boss pipe ring socket 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/94/NW-Q64194_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PF14563,Center CB push fit solvent weld short boss pipe 110 x 32mm Grey,Center CB,17.53,"Center CB boss pipe is made of PVC-U. The 110mm PVC-U Center push-fit soil system offers a complete range of push-fit fittings. This time saving system is quick and easy to install as it is simply pushed together on site, making it the system of choice for countless installations.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Center CB push fit solvent weld short boss pipe 110 x 32mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/63/NW-F14563_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PF66822,Polypipe PolySoil single boss pipe 110mm Grey,Polypipe,36.41,"Made of grey PVC-U, this Polypipe PolySoil boss pipe with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Polypipe PolySoil single boss pipe 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/22/NW-F66822_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PF14564,Center CB push fit solvent weld short boss pipe 110 x 40mm Grey,Center CB,17.53,"Center CB boss pipe is made of PVC-U. The 110mm PVC-U Center push-fit soil system offers a complete range of push-fit fittings. This time saving system is quick and easy to install as it is simply pushed together on site, making it the system of choice for countless installations.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Center CB push fit solvent weld short boss pipe 110 x 40mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/64/NW-F14564_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PF14510,Center CB universal boss pipe 110mm Grey,Center CB,18.6,"Made of plastic, this Center CB 110mm universal boss pipe is part of a complete range of push-fit soil system fittings offering fast, easy installation, making it ideal for use in a wide range of applications.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Center CB universal boss pipe 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/10/NW-F14510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PF14612,Center CB 3-boss pipe 110mm Black,Center CB,10.93,"Center CB boss pipe is made of plastic. The 110mm PVC-U Center push-fit soil system offers a complete range of push-fit fittings. This time saving system is quick and easy to install as it is simply pushed together on site, making it the system of choice for countless installations.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Center CB 3-boss pipe 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/12/NW-F14612_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PF66935,Polypipe PolySoil short boss pipe 110mm Black,Polypipe,13.03,"Made of black PVC-U, this Polypipe PolySoil boss pipe with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Polypipe PolySoil short boss pipe 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/35/NW-F66935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PQ66024,Wavin Wavin OsmaSoil double solvent-weld bossed pipe 110mm Black,Wavin,13.37,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110mm straight short double bossed pipe is made of durable black PVC-u and is fitted with secure 110mm plain end connections.",Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Wavin Wavin OsmaSoil double solvent-weld bossed pipe 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/24/NW-Q66024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PF29000,"Polypipe Terrain 100 plain end soil pipe 4"" x 3mtr Grey",Polypipe,88.5,"Made of grey PVC-U, this Polypipe Terrain 100 plain end soil pipe with 110mm solvent weld connections and supplied in a length of 3M is designed for use in commercial building services. The Polypipe Terrain PVC drainage system is fully accredited and is suitable for joining to a variety of other materials.","Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Polypipe Terrain 100 plain end soil pipe 4"" x 3mtr Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/00/NW-F29000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PF81349,Marley HDPE HDPE tempered pipe 110mm x 3mtr,Marley,34.37,This Marley HDPE 110mm pipe in black with plain end connections is supplied in a 3M length and is ideal for commercial applications or for use anywhere that high impact or abrasion resistance is needed.,Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Marley HDPE HDPE tempered pipe 110mm x 3mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/49/NW-F81349_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_HDPE_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PF80886,Marley HDPE tempered pipe 56 x 3mm 5mtr,Marley,24.31,This Marley HDPE 56mm pipe in black with plain end connections is supplied in a 5M length and is ideal for commercial applications or for use anywhere that high impact or abrasion resistance is needed.,Drainage/Soil Pipes and Fittings/Soil Pipes/Soil Pipes.csv -> Marley HDPE tempered pipe 56 x 3mm 5mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/86/NW-F80886_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_HDPE_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
