,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Pack Quantity,Range,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 4,Model For Use With,Attachment 5,Warranty,Weight,For Use With
10,P697583,Fujitsu VRF UTYRNRYZ5 Touch Screen Remote Controller (1),Fujitsu,121.18,"Easy to operate, this Fujitsu VRF UTYRNRYZ5 remote controller has an intuitive backlit touchscreen. Able to control up to a maximum of sixteen units, this controller provides both weekly and daily time, on/off and mode control.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Fujitsu VRF UTYRNRYZ5 Touch Screen Remote Controller (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/83/697583_wm.jpg,,,,N,UTYRNRYZ5,Remote controller,N,Easy finger touch operation with LCD panel,"Built-in weekly/Daily timer(ON/OFF,Temp.,Mode)",1,VRF,Backlight enables easy operation in a darkened room,Room temperature display,Control up to 16 indoor units,"Corresponds to 12 different languages (English, Chinese, French, German, Spanish, Russian, Polish, Italian, Greek, Portuguese, Turkish and Dutch)",2-wire type,,,,,,
11,P695434,Pump House 7 insulation wall clamp 2-1/8 inner diameter 3/4,Pump House,20.8,"The Pump House Klo-Shure 7 insulation coupling in 2 1/8"" x 3/4"" is a one-piece tubular sleeve with an internal configuration designed to support, secure and seal tubular insulation while supporting and levelling copper tubing in strut-mounted suspension devices and drop hangers. With Klo-Shure there's no need to double-wrap, glue and tape insulation and insulating copper tubing for refrigerant lines is faster. A patented clamp allows sections of closed-cell insulation to be secured at fixing points.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House 7 insulation wall clamp 2-1/8 inner diameter 3/4,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/NW-695426_695434_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pump_House_Klo-Shure_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pump_House_Klo-Shure_Line_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_Klo-Shure_Technical.pdf,,,,,
12,P697578,Fujitsu UTYTFSXW1 Wireless Lan Interface,Fujitsu,94.71,"Requiring no external power supply, this Fujitsu wireless LAN interface for R32 split units provides users with convenient remote management of their AC system using a smartphone or tablet. Suitable for single or multiple units, this clever interface provides error notifications, allowing for fast fixing of potential problems.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Fujitsu UTYTFSXW1 Wireless Lan Interface,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/78/NW-697578_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fujitsu_Control_System_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,
13,P695498,Pump House DiversiTech SPRO-COOL ice machine cleaner liquid 500ml,Pump House,18.9,"Pump House DiversiTech Pro-Cool no-odour concentrated liquid cleaner for ice machines is nickel and metal-safe. Pro-Cool works fast to remove soiling and minerals, leaving no unpleasant chemical smells behind.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House DiversiTech SPRO-COOL ice machine cleaner liquid 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/98/NW-695498_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_Pro_Cool_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Pro_Cool_SDS.pdf,,,,,,,,,,,,,,,,,,,
14,P688737,"Pump House MAC line tap valve 1/4 - 5/6 - 3/8""",Pump House,4.25,"This Pump House MAC line piercing valve has a uniport single connection for piercing and servicing. Sealed with refrigerant-resistant O-rings, the needle automatically backseats after servicing, leaving the line free of residue.","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House MAC line tap valve 1/4 - 5/6 - 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/37/NW-688737_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,
15,P696975,Pump House Super Seal super seal advanced up to 1.5 tons 5 Kw,Pump House,29.99,"This 2oz Pump House Super Seal sealant is a system additive that works to find and seal leaks in refrigeration systems and includes an eliminator to dry up moisture while preventing acid/waxing, dissolving blockages and freeing TEVs. A light, low viscosity particle-free liquid, Super Seal is directly misted into the system, forming a low tensile crystalline structure that creates a permanent seal over any leak point.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House Super Seal super seal advanced up to 1.5 tons 5 Kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/75/NW-696975_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_947KIT_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Super-Seal_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,
16,P696974,Pump House Super Seal super seal advanced 1.5-5 tons 5-17Kw,Pump House,47.94,"This 1oz Pump House Super Seal sealant is a system additive that works to find and seal leaks in refrigeration systems and includes an eliminator to dry up moisture while preventing acid/waxing, dissolving blockages and freeing TEVs. A light, low viscosity particle-free liquid, Super Seal is directly misted into the system, forming a low tensile crystalline structure that creates a permanent seal over any leak point.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House Super Seal super seal advanced 1.5-5 tons 5-17Kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/74/NW-696974_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_944KIT_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Super-Seal_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,
17,P696494,Pump House DiversiTech G2G-Care pre-mixed liquid coil cleaner and disinfectant 1ltr,Pump House,29.4,"Suitable for evaporator use, Pump House DiversiTech G2G-Care pre-mixed liquid coil cleaner and disinfectant efficiently and effectively cleans and protects indoor coils. Killing MRSA, legionella and many other germs, this cleaner also eliminates slime and contaminants.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House DiversiTech G2G-Care pre-mixed liquid coil cleaner and disinfectant 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/94/NW-696494_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_G2G_Care_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_G2G_Care_SDS.pdf,,,,,,,,,,,,,,,,,,,
18,P696496,Pump House DiversiTech G2G-Bubble+-GB pre-mixed bubble up leak detector,Pump House,30.29,"With excellent viscosity, Pump House DiversiTech GTG-bubble+ pre-mixed bubble-up leak detector spray locates leaks in pipes and equipment, efficiently detecting ammonia, refrigerant gas, natural gas and air leaks. G2G-bubble+ doesn't attack or react with metal surfaces and will not freeze, even at below freezing temperatures.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House DiversiTech G2G-Bubble+-GB pre-mixed bubble up leak detector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/96/NW-696496_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTechG2GBubble_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTechG2G_Bubble_SDS.pdf,,,,,,,,,,,,,,,,,,,
19,P612224,Pump House ACR TR-FB-140 90deg flat bend ASHP trunking 140mm,Pump House,16.25,"Made of fade-resistant ivory PVC, this Pump House 140mm 90° bend is for use when installing air source heat pump trunking. Designed for screw fitting, this connector, along with trunking from the same range, is designed to contain the flow and return pipes and cabling of an air source heat pump.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House ACR TR-FB-140 90deg flat bend ASHP trunking 140mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/24/612223_612224_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_ASHP_Trunking_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/PumpHouse_ASHP_Extnl_Trunking_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Heating_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,
20,P696490,Pump House DiversiTech Pro-Care-GB evaporator coil cleaner and drain disinfectant,Pump House,103.73,"Suitable for evaporators, Pump House DiversiTech Pro-Care coil cleaner with disinfectant is efficient and effective, killing MRSA, legionella and many other germs and protecting coils for up to six months.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House DiversiTech Pro-Care-GB evaporator coil cleaner and drain disinfectant,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/90/NW-696489_696490_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_Pro_Care_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Pro_Care_SDS.pdf,,,,,,,,,,,,,,,,,,,
21,P696505,Pump House Coil Foam AER-F-600 foaming coil cleaner for outdoor coils 600ml,Pump House,18.04,"Suitable for use on air conditioning and refrigeration condenser coils, Pump House Coil Foam heavy duty condenser cleaner effectively removes dirt and grime while improving system performance.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House Coil Foam AER-F-600 foaming coil cleaner for outdoor coils 600ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/05/NW-696505_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_696505_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Easyfoam_SDS.pdf,,,,,,,,,,,,,,,,,,,,
22,P696502,Pump House Coil Care AER-D-600 dual purpose coil cleaner aerosol 600ml,Pump House,17.85,"Pump House Coil Care universal coil cleaner for evaporators and condensers is formulated to remove bacteria, fungi and viruses, neutralise odours and improve air quality. Coil Care's highly effective cleaning action improves the efficiency of an air conditioning system while cleaning and freshening the coil.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House Coil Care AER-D-600 dual purpose coil cleaner aerosol 600ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/02/NW-696502_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Coil_Clean_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_696502_Technical.pdf,,,,,,,,,,,,,,,,,,,,
23,P696491,Pump House DiversiTech Pro-Green+-GB universal coil cleaner 5ltr,Pump House,102.84,"Suitable for condensers, evaporators and air filters, Pump House DiversiTech Pro-Green concentrated coil cleaner is an environmentally friendly product, employing bio-degradable, earth-friendly components to clean away even stubborn dirt and deposits quickly, restoring the appearance and performance of coils. Pro-Green delivers cleaning performance for both indoor and outdoor coils and is safe for use on all metals and roofing materials.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House DiversiTech Pro-Green+-GB universal coil cleaner 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/91/NW-696491_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Pro_Green_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_ProGreen_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,,,,,,,,,,,,,,,,,,,
